time (s), potA, potB
0,506,513
1,506,513
2,506,513
3,506,513
4,506,513
5,505,513
6,506,513
7,506,513
8,506,513
9,505,513
10,506,513
11,506,513
12,506,513
13,506,513
14,506,513
15,505,513
16,505,513
17,506,513
18,506,513
19,506,513
20,505,513
21,505,513
22,504,513
23,504,513
24,504,513
25,504,513
26,504,513
27,504,515
28,504,518
29,504,523
30,502,530
31,502,541
32,500,548
33,496,556
34,493,564
35,490,566
36,482,569
37,476,573
38,469,578
39,464,580
40,460,585
41,456,589
42,454,591
43,452,594
44,450,599
45,448,600
46,444,602
47,443,603
48,441,603
49,436,603
50,434,603
51,431,602
52,426,603
53,423,603
54,419,603
55,419,604
56,419,604
57,419,604
58,420,604
59,423,604
60,425,604
61,425,604
62,426,604
63,425,604
64,425,604
65,425,604
66,426,600
67,447,577
68,464,550
69,496,510
70,533,475
71,556,449
72,572,432
73,572,436
74,555,455
75,531,483
76,500,524
77,469,556
78,451,579
79,443,591
80,449,585
81,469,561
82,496,531
83,526,494
84,552,465
85,566,448
86,567,443
87,557,452
88,533,476
89,504,506
90,477,537
91,453,563
92,444,574
93,447,574
94,461,561
95,488,536
96,517,507
97,543,481
98,562,461
99,567,455
100,562,460
101,545,479
102,518,505
103,491,531
104,468,553
105,452,567
106,449,568
107,459,557
108,477,537
109,502,508
110,527,484
111,547,466
112,556,457
113,556,460
114,545,473
115,525,497
116,502,525
117,480,547
118,466,564
119,460,568
120,464,562
121,478,545
122,498,522
123,519,495
124,537,474
125,548,462
126,548,460
127,540,469
128,523,486
129,504,510
130,485,533
131,470,550
132,465,559
133,468,558
134,478,549
135,496,530
136,517,508
137,533,491
138,546,477
139,548,471
140,543,474
141,529,485
142,511,505
143,492,525
144,477,539
145,468,549
146,467,550
147,474,543
148,488,529
149,506,512
150,522,495
151,536,483
152,543,479
153,542,480
154,534,490
155,519,505
156,503,522
157,490,536
158,478,546
159,474,547
160,477,543
161,485,532
162,498,517
163,514,500
164,524,486
165,532,480
166,533,480
167,530,484
168,520,497
169,508,513
170,495,526
171,487,539
172,481,545
173,482,544
174,489,537
175,499,525
176,511,510
177,521,497
178,528,489
179,530,484
180,527,485
181,520,494
182,509,505
183,498,517
184,490,527
185,484,536
186,484,536
187,488,534
188,496,526
189,507,517
190,517,506
191,524,497
192,528,494
193,527,494
194,523,497
195,515,505
196,505,515
197,496,523
198,491,527
199,488,530
200,489,528
201,492,525
202,501,516
203,508,507
204,516,501
205,520,496
206,522,496
207,521,499
208,517,505
209,510,513
210,503,520
211,498,525
212,495,527
213,495,527
214,496,525
215,501,519
216,506,512
217,511,506
218,515,501
219,516,500
220,516,500
221,514,504
222,509,507
223,505,514
224,502,519
225,500,523
226,499,524
227,501,524
228,502,521
229,506,517
230,510,512
231,512,508
232,514,506
233,513,505
234,512,506
235,509,507
236,506,511
237,504,515
238,502,516
239,502,517
240,502,517
241,503,517
242,505,516
243,507,513
244,509,512
245,509,511
246,509,511
247,509,511
248,509,512
249,508,513
250,507,514
251,506,514
252,506,514
253,506,514
254,507,513
255,507,513
256,507,513
257,507,514
258,507,514
259,507,514
260,507,514
261,507,514
262,507,514
263,507,514
264,507,514
265,507,514
266,507,514
267,507,514
268,507,514
269,507,514
270,507,514
271,507,514
272,507,514
273,507,514
274,507,514
275,507,514
276,507,514
277,507,514
278,507,514
279,507,514
280,507,514
281,507,514
282,507,514
283,507,514
284,507,514
285,507,514
286,507,514
287,507,514
288,507,513
289,507,514
290,507,514
291,506,514
292,507,514
293,507,514
294,507,514
295,507,514
296,507,514
297,507,514
298,507,514
299,507,514
300,507,514