time (s), potA, potB
0,509,696
1,509,695
2,509,696
3,509,696
4,509,696
5,509,696
6,509,696
7,509,696
8,509,696
9,509,696
10,509,696
11,509,696
12,509,696
13,510,696
14,509,699
15,509,706
16,508,716
17,507,730
18,506,741
19,506,755
20,506,768
21,506,779
22,506,781
23,506,781
24,507,774
25,510,753
26,512,733
27,517,698
28,518,659
29,519,633
30,517,611
31,514,609
32,507,610
33,497,620
34,491,648
35,483,670
36,481,708
37,481,730
38,487,750
39,497,762
40,509,762
41,524,754
42,538,736
43,548,717
44,555,695
45,555,667
46,548,649
47,535,640
48,518,637
49,499,640
50,480,649
51,464,661
52,455,677
53,452,699
54,457,710
55,469,717
56,487,720
57,509,720
58,532,716
59,553,710
60,567,702
61,573,697
62,571,692
63,562,686
64,545,685
65,522,686
66,499,689
67,478,692
68,459,695
69,448,694
70,446,692
71,452,686
72,465,677
73,486,673
74,507,670
75,528,668
76,547,671
77,560,675
78,566,689
79,565,699
80,555,711
81,541,720
82,523,727
83,503,729
84,486,727
85,473,720
86,464,709
87,461,693
88,467,668
89,477,654
90,490,642
91,504,635
92,518,635
93,530,643
94,538,658
95,541,675
96,540,704
97,533,724
98,527,741
99,517,752
100,508,754
101,501,750
102,496,736
103,493,717
104,493,696
105,496,666
106,500,647
107,502,631
108,507,624
109,509,625
110,510,632
111,510,649
112,508,670
113,507,700
114,506,722
115,506,741
116,507,752
117,510,755
118,514,752
119,518,741
120,521,722
121,524,701
122,525,673
123,524,655
124,519,640
125,514,632
126,504,632
127,496,638
128,488,650
129,481,668
130,480,695
131,481,711
132,487,725
133,496,734
134,508,737
135,519,735
136,532,727
137,542,717
138,548,702
139,548,687
140,544,671
141,533,661
142,519,658
143,505,658
144,490,660
145,477,668
146,467,675
147,463,690
148,466,698
149,474,703
150,487,707
151,502,708
152,518,707
153,534,704
154,548,701
155,555,698
156,556,697
157,551,696
158,541,695
159,526,696
160,509,697
161,492,697
162,479,696
163,469,695
164,464,692
165,465,686
166,473,676
167,484,673
168,497,671
169,515,671
170,529,673
171,540,675
172,548,688
173,548,698
174,546,707
175,538,716
176,527,721
177,514,723
178,501,722
179,490,717
180,482,710
181,478,697
182,478,678
183,482,666
184,490,657
185,497,649
186,508,649
187,517,651
188,523,660
189,528,674
190,530,695
191,529,711
192,525,722
193,519,733
194,515,737
195,509,736
196,505,731
197,501,719
198,501,705
199,500,686
200,501,666
201,502,653
202,503,645
203,506,641
204,507,644
205,507,652
206,507,665
207,507,686
208,507,704
209,507,719
210,508,729
211,511,735
212,513,737
213,516,733
214,517,722
215,518,711
216,519,695
217,518,674
218,517,661
219,513,652
220,507,648
221,502,649
222,496,656
223,492,665
224,490,676
225,490,696
226,491,710
227,496,717
228,504,723
229,513,725
230,519,722
231,528,717
232,532,710
233,533,699
234,533,690
235,529,675
236,521,669
237,514,666
238,502,665
239,492,668
240,485,673
241,481,677
242,480,690
243,482,696
244,489,700
245,497,704
246,507,705
247,518,705
248,529,704
249,535,702
250,540,700
251,540,698
252,535,696
253,528,695
254,518,694
255,507,694
256,496,693
257,488,693
258,481,691
259,480,689
260,481,686
261,485,686
262,493,683
263,503,683
264,514,685
265,522,686
266,530,691
267,533,696
268,535,700
269,533,703
270,528,708
271,519,710
272,512,711
273,502,709
274,496,705
275,490,699
276,487,694
277,487,683
278,490,674
279,495,668
280,501,666
281,508,666
282,515,669
283,519,674
284,523,686
285,524,697
286,524,705
287,522,713
288,518,717
289,515,720
290,510,718
291,506,715
292,502,708
293,501,699
294,500,687
295,500,674
296,501,665
297,503,661
298,505,660
299,507,662
300,509,667
301,511,675
302,512,692
303,512,701
304,513,711
305,513,717
306,513,721
307,513,721
308,513,717
309,514,712
310,513,703
311,513,695
312,512,678
313,510,671
314,508,665
315,506,662
316,504,664
317,502,667
318,501,674
319,501,686
320,501,696
321,502,704
322,506,711
323,509,715
324,513,716
325,516,715
326,518,711
327,519,705
328,520,698
329,519,692
330,517,681
331,514,674
332,509,673
333,504,672
334,500,673
335,496,675
336,495,683
337,495,691
338,496,696
339,500,700
340,504,703
341,510,705
342,516,705
343,519,704
344,523,702
345,524,700
346,524,697
347,522,695
348,518,692
349,514,690
350,507,687
351,501,686
352,496,687
353,494,687
354,492,689
355,493,690
356,496,692
357,501,693
358,507,695
359,513,695
360,517,695
361,521,696
362,523,697
363,524,698
364,522,699
365,518,699
366,515,699
367,510,699
368,505,698
369,501,696
370,497,695
371,496,692
372,496,687
373,497,685
374,501,682
375,505,682
376,509,683
377,514,686
378,516,690
379,517,695
380,518,697
381,518,700
382,518,703
383,515,705
384,513,705
385,509,704
386,506,701
387,504,698
388,502,695
389,502,690
390,502,684
391,503,676
392,505,675
393,507,676
394,508,676
395,510,684
396,512,690
397,513,695
398,513,699
399,513,702
400,513,705
401,512,706
402,512,705
403,511,704
404,510,700
405,509,697
406,508,694
407,508,687
408,507,681
409,507,676
410,507,676
411,507,676
412,507,682
413,507,687
414,507,694
415,507,696
416,508,699
417,509,701
418,510,703
419,512,703
420,512,702
421,513,700
422,513,698
423,513,695
424,513,692
425,511,687
426,509,685
427,507,684
428,506,683
429,505,686
430,504,687
431,504,691
432,505,695
433,506,696
434,507,698
435,509,699
436,511,699
437,513,699
438,514,699
439,515,698
440,515,697
441,515,695
442,513,694
443,512,692
444,509,691
445,507,691
446,506,691
447,504,692
448,503,693
449,503,694
450,505,694
451,507,695
452,508,695
453,510,695
454,512,695
455,513,696
456,514,696
457,514,696
458,514,695
459,514,695
460,512,695
461,510,695
462,508,695
463,507,695
464,506,695
465,506,694
466,506,694
467,506,694
468,507,694
469,508,694
470,509,694
471,510,693
472,512,694
473,512,695
474,512,695
475,512,695
476,512,695
477,511,696
478,510,696
479,509,696
480,507,695
481,508,695
482,507,695
483,507,694
484,507,694
485,508,693
486,508,693
487,509,693
488,509,694
489,509,694
490,509,695
491,509,695
492,509,695
493,509,696
494,509,696
495,509,696
496,509,696
497,509,695
498,509,695
499,509,695
500,509,694