time (s), potA, potB
0,508,699
1,508,699
2,508,699
3,508,699
4,508,699
5,509,699
6,509,699
7,509,699
8,510,699
9,510,699
10,509,699
11,509,699
12,509,699
13,508,705
14,505,712
15,499,720
16,490,733
17,478,744
18,466,757
19,455,766
20,445,773
21,439,782
22,436,782
23,436,781
24,436,781
25,436,781
26,436,781
27,436,781
28,436,781
29,436,781
30,436,781
31,436,781
32,436,781
33,444,772
34,455,759
35,468,740
36,493,713
37,513,687
38,537,654
39,556,635
40,571,621
41,581,615
42,580,618
43,573,627
44,562,645
45,541,667
46,520,700
47,496,725
48,477,747
49,460,764
50,449,772
51,445,774
52,447,766
53,459,753
54,477,732
55,498,708
56,520,676
57,542,652
58,563,636
59,575,624
60,579,620
61,578,624
62,569,635
63,555,652
64,535,675
65,514,707
66,492,730
67,473,749
68,458,763
69,450,769
70,449,769
71,455,762
72,467,745
73,485,724
74,506,702
75,527,672
76,546,652
77,562,636
78,570,627
79,573,626
80,571,630
81,562,643
82,547,660
83,528,688
84,506,712
85,485,733
86,469,750
87,456,762
88,450,764
89,453,763
90,461,755
91,473,738
92,491,718
93,509,697
94,529,669
95,547,650
96,562,636
97,569,630
98,570,630
99,566,637
100,555,650
101,540,668
102,520,696
103,501,716
104,483,736
105,468,750
106,460,758
107,455,762
108,456,756
109,464,746
110,479,731
111,496,711
112,514,691
113,533,665
114,549,649
115,562,638
116,567,635
117,567,636
118,562,645
119,549,658
120,533,675
121,515,701
122,496,721
123,480,737
124,467,750
125,460,756
126,457,756
127,461,751
128,470,738
129,486,723
130,502,706
131,520,683
132,536,662
133,550,649
134,562,641
135,564,638
136,562,643
137,555,651
138,543,666
139,527,689
140,509,708
141,491,725
142,478,738
143,467,749
144,461,753
145,461,752
146,466,744
147,477,732
148,491,716
149,508,699
150,524,675
151,540,659
152,551,649
153,559,643
154,562,643
155,557,649
156,549,658
157,536,673
158,521,697
159,506,713
160,490,728
161,477,739
162,468,745
163,464,748
164,465,745
165,472,737
166,483,724
167,496,710
168,513,694
169,528,671
170,541,658
171,551,650
172,556,648
173,556,649
174,553,655
175,544,666
176,530,684
177,516,701
178,501,716
179,488,729
180,476,738
181,469,743
182,468,743
183,470,739
184,477,731
185,489,718
186,503,704
187,517,688
188,530,669
189,543,658
190,550,652
191,555,652
192,553,654
193,547,661
194,537,673
195,525,694
196,512,707
197,497,720
198,486,730
199,476,737
200,471,740
201,471,739
202,476,733
