time (s), potA, potB,Corrected A,Corrected B
304,506,492,0,6
305,506,491,0,5
306,506,489,0,3
307,506,487,0,1
308,506,485,0,-1
309,506,484,0,-2
310,506,482,0,-4
311,506,481,0,-5
312,506,481,0,-5
313,506,482,0,-4
314,506,482,0,-4
315,506,483,0,-3
316,506,484,0,-2
317,506,485,0,-1
318,506,486,0,0
319,506,488,0,2
320,506,488,0,2
321,506,488,0,2
322,506,488,0,2
323,506,488,0,2
324,506,487,0,1
325,506,486,0,0
326,506,486,0,0
327,506,485,0,-1
328,506,485,0,-1
329,506,485,0,-1
330,506,485,0,-1
331,506,485,0,-1
332,506,485,0,-1
333,506,485,0,-1
334,506,486,0,0
335,506,486,0,0
336,506,486,0,0
337,506,486,0,0
338,506,486,0,0
339,506,485,0,-1
340,506,485,0,-1
341,506,485,0,-1
342,506,485,0,-1
343,506,485,0,-1
344,506,485,0,-1
345,506,485,0,-1
346,506,486,0,0
347,506,485,0,-1
348,506,486,0,0
349,506,486,0,0
350,506,485,0,-1
351,506,485,0,-1
352,506,485,0,-1
353,506,485,0,-1
354,506,485,0,-1
355,506,485,0,-1
356,506,485,0,-1
357,506,485,0,-1
358,506,485,0,-1
359,506,485,0,-1
360,506,486,0,0
361,506,485,0,-1
362,506,485,0,-1
363,506,485,0,-1
364,506,485,0,-1
365,506,485,0,-1
366,506,485,0,-1
367,506,485,0,-1
368,506,485,0,-1
369,506,485,0,-1
370,506,485,0,-1
371,506,485,0,-1
372,506,485,0,-1
373,506,485,0,-1
374,506,485,0,-1
375,506,485,0,-1
376,506,485,0,-1
377,506,485,0,-1
378,506,485,0,-1
379,506,485,0,-1
380,506,485,0,-1
381,506,485,0,-1
382,506,485,0,-1
383,506,485,0,-1
384,506,485,0,-1
385,506,485,0,-1
386,506,485,0,-1
387,506,485,0,-1
388,506,485,0,-1
389,506,485,0,-1
390,506,486,0,0
391,506,485,0,-1
392,506,485,0,-1
393,506,485,0,-1
394,506,485,0,-1
395,506,485,0,-1
396,506,485,0,-1
397,506,485,0,-1
398,506,485,0,-1
399,506,485,0,-1
400,506,485,0,-1
