time (s), potA, potB
0,508,478
1,508,478
2,508,478
3,508,478
4,508,478
5,508,478
6,508,478
7,508,478
8,508,478
9,508,478
10,508,479
11,507,483
12,507,489
13,506,500
14,505,514
15,504,527
16,503,539
17,503,548
18,502,555
19,501,559
20,500,564
21,500,563
22,499,563
23,499,563
24,499,563
25,499,563
26,499,563
27,500,563
28,501,563
29,501,563
30,501,562
31,502,562
32,502,562
33,502,562
34,502,562
35,502,561
36,504,549
37,512,534
38,514,512
39,526,483
40,530,454
41,529,434
42,527,421
43,513,421
44,499,428
45,482,444
46,467,467
47,460,485
48,460,503
49,473,510
50,491,512
51,514,507
52,539,495
53,557,487
54,571,479
55,571,475
56,563,476
57,546,480
58,518,489
59,495,494
60,472,497
61,459,495
62,454,487
63,459,474
64,472,458
65,490,444
66,509,435
67,525,434
68,537,441
69,541,456
70,539,479
71,532,503
72,520,524
73,512,537
74,505,543
75,502,537
76,504,524
77,508,499
78,515,473
79,518,449
80,519,431
81,517,422
82,508,423
83,497,432
84,487,450
85,478,471
86,474,492
87,477,507
88,485,517
89,501,518
90,518,513
91,538,503
92,552,492
93,560,481
94,560,472
95,550,470
96,533,471
97,512,475
98,490,481
99,471,483
100,459,484
101,456,482
102,461,475
103,475,465
104,491,457
105,513,452
106,529,451
107,541,455
108,547,467
109,546,482
110,538,501
111,527,517
112,515,527
113,504,530
114,497,525
115,496,511
116,496,493
117,501,470
118,505,449
119,509,433
120,511,426
121,509,427
122,504,436
123,498,453
124,493,474
125,491,494
126,491,510
127,496,522
128,506,524
129,518,520
130,531,508
131,541,495
132,548,481
133,547,470
134,540,462
135,526,459
136,510,460
137,491,465
138,476,472
139,466,478
140,461,481
141,467,481
142,478,479
143,495,475
144,514,471
145,530,469
146,543,471
147,549,475
148,549,483
149,544,494
150,532,504
151,518,510
152,504,514
153,493,510
154,487,502
155,485,489
156,487,472
157,491,455
158,500,443
159,506,435
160,511,435
161,514,442
162,513,455
163,511,473
164,507,494
165,506,508
166,506,522
167,508,525
168,514,524
169,518,514
170,525,500
171,529,484
172,530,468
173,527,456
174,520,449
175,510,448
176,497,452
177,486,459
178,478,469
179,474,479
180,476,486
181,482,491
182,496,493
183,510,492
184,524,489
185,538,485
186,546,483
