time (s), potA, potB
531,511,481
532,510,482
533,509,482
534,507,483
535,507,483
536,506,484
537,505,484
538,506,484
539,506,483
540,506,483
541,507,483
542,508,483
543,509,482
544,509,482
545,509,482
546,510,483
547,509,483
548,508,484
549,508,483
550,508,484
551,507,484
552,507,484
553,507,483
554,507,483
555,507,483
556,508,483
557,507,482
558,508,482
559,508,482
560,508,483
561,508,483
562,508,483
563,507,483
564,507,483
565,507,483
566,507,483
567,507,483
568,507,483
569,508,483
570,507,483
571,507,483
572,507,483
573,508,483
574,507,483
575,508,483
576,507,483
577,507,483
578,507,483
579,508,483
580,508,483
581,507,483
582,507,483
583,507,483
584,507,483
585,507,483
586,507,483
587,507,483
588,508,483
589,507,483
590,508,483
591,507,483
592,507,483
593,507,483
594,507,483
595,507,483
596,507,483
597,507,483
598,507,483
599,507,483
600,508,483