time (s), potA, potB
0,506,486
1,506,486
2,506,486
3,506,486
4,506,491
5,506,496
6,506,509
7,506,525
8,506,540
9,506,552
10,506,562
11,506,567
12,506,569
13,506,572
14,506,573
15,506,573
16,506,573
17,506,573
18,506,571
19,506,559
20,506,547
21,506,528
22,506,500
23,506,478
24,506,450
25,506,432
26,506,417
27,506,409
28,506,411
29,506,418
30,506,434
31,506,454
32,506,480
33,506,504
34,506,527
35,506,546
36,506,557
37,506,560
38,506,558
39,506,546
40,506,527
41,506,504
42,506,481
43,506,458
44,506,437
45,506,424
46,506,416
47,506,416
48,506,422
49,506,435
50,506,454
51,506,477
52,506,498
53,506,521
54,506,537
55,506,549
56,506,553
57,506,550
58,506,542
59,506,526
60,506,505
61,506,484
62,506,463
63,506,443
64,506,430
65,506,423
66,506,421
67,506,425
68,506,436
69,506,454
70,506,474
71,506,496
72,506,516
73,506,532
74,506,544
75,506,548
76,506,547
77,506,538
78,506,525
79,506,506
80,506,486
81,506,467
82,506,448
83,506,435
84,506,428
85,506,425
86,506,431
87,506,439
88,506,455
89,506,473
90,506,493
91,506,511
92,506,527
93,506,537
94,506,543
95,506,542
96,506,535
97,506,523
98,506,506
99,506,488
100,506,469
101,506,453
102,506,440
103,506,433
104,506,432
105,506,434
106,506,443
107,506,457
108,506,473
109,506,492
110,506,507
111,506,522
112,506,532
113,506,536
114,506,536
115,506,530
116,506,521
117,506,505
118,506,489
119,506,472
120,506,457
121,506,445
122,506,437
123,506,436
124,506,437
125,506,446
126,506,459
127,506,473
128,506,490
129,506,504
130,506,518
131,506,527
132,506,532
133,506,532
134,506,526
135,506,517
136,506,503
137,506,490
138,506,474
139,506,461
140,506,449
141,506,443
142,506,441
143,506,443
144,506,449
145,506,462
146,506,475
147,506,489
148,506,503
149,506,514
150,506,523
151,506,526
152,506,527
153,506,522
154,506,514
155,506,502
156,506,490
157,506,476
158,506,464
159,506,454
160,506,447
161,506,446
162,506,447
163,506,453
164,506,464
165,506,475
166,506,488
167,506,499
168,506,511
169,506,518
170,506,522
171,506,522
172,506,519
173,506,511
174,506,500
175,506,489
176,506,477
177,506,467
178,506,458
179,506,452
180,506,451
181,506,452
182,506,458
183,506,466
184,506,477
185,506,488
186,506,498
187,506,507
188,506,514
189,506,517
190,506,517
191,506,514
192,506,507
193,506,498
194,506,489
195,506,478
196,506,468
197,506,462
198,506,457
199,506,455
200,506,457
201,506,462
202,506,468
203,506,478
204,506,488
205,506,496
206,506,504
207,506,510
208,506,512
209,506,512
210,506,510
211,506,504
212,506,496
213,506,488
214,506,479
215,506,470
216,506,465
217,506,462
218,506,460
219,506,462
220,506,465
221,506,470
222,506,479
223,506,488
224,506,495
225,506,502
226,506,506
227,506,508
228,506,508
229,506,506
230,506,501
231,506,494
232,506,488
233,506,479
234,506,474
235,506,468
236,506,466
237,506,465
238,506,466
239,506,468
240,506,474
241,506,480
242,506,487
243,506,493
244,506,498
245,506,503
246,506,504
247,506,503
248,506,502
249,506,497
250,506,492
251,506,487
252,506,481
253,506,476
254,506,470
255,506,468
256,506,468
257,506,469
258,506,472
259,506,477
260,506,482
261,506,487
262,506,492
263,506,496
264,506,498
265,506,499
266,506,499
267,506,497
268,506,495
269,506,491
270,506,486
271,506,481
272,506,478
273,506,475
274,506,473
275,506,473
276,506,474
277,506,476
278,506,479
279,506,483
280,506,487
281,506,491
282,506,493
283,506,495
284,506,496
285,506,495
286,506,494
287,506,492
288,506,489
289,506,486
290,506,483
291,506,479
292,506,478
293,506,477
294,506,477
295,506,478
296,506,479
297,506,482
298,506,484
299,506,487
300,506,489
301,506,492
302,506,492
303,506,492
304,506,492
305,506,491
306,506,489
307,506,487
308,506,485
309,506,484
310,506,482
311,506,481
312,506,481
313,506,482
314,506,482
315,506,483
316,506,484
317,506,485
318,506,486
319,506,488
320,506,488
321,506,488
322,506,488
323,506,488
324,506,487
325,506,486
326,506,486
327,506,485
328,506,485
329,506,485
330,506,485
331,506,485
332,506,485
333,506,485
334,506,486
335,506,486
336,506,486
337,506,486
338,506,486
339,506,485
340,506,485
341,506,485
342,506,485
343,506,485
344,506,485
345,506,485
346,506,486
347,506,485
348,506,486
349,506,486
350,506,485
351,506,485
352,506,485
353,506,485
354,506,485
355,506,485
356,506,485
357,506,485
358,506,485
359,506,485
360,506,486
361,506,485
362,506,485
363,506,485
364,506,485
365,506,485
366,506,485
367,506,485
368,506,485
369,506,485
370,506,485
371,506,485
372,506,485
373,506,485
374,506,485
375,506,485
376,506,485
377,506,485
378,506,485
379,506,485
380,506,485
381,506,485
382,506,485
383,506,485
384,506,485
385,506,485
386,506,485
387,506,485
388,506,485
389,506,485
390,506,486
391,506,485
392,506,485
393,506,485
394,506,485
395,506,485
396,506,485
397,506,485
398,506,485
399,506,485
400,506,485