time (s), potA, potB
0,507,485
1,507,485
2,507,485
3,507,485
4,507,485
5,507,485
6,507,485
7,507,485
8,507,486
9,507,487
10,507,487
11,507,489
12,507,488
13,507,495
14,507,501
15,507,514
16,507,527
17,508,542
18,508,553
19,509,564
20,510,569
21,510,574
22,510,574
23,509,573
24,508,573
25,508,573
26,508,573
27,507,573
28,507,573
29,506,573
30,506,573
31,506,573
32,505,574
33,506,568
34,507,550
35,508,535
36,511,503
37,513,477
38,515,448
39,515,423
40,514,412
41,511,403
42,506,407
43,501,420
44,496,438
45,490,467
46,489,493
47,489,522
48,491,542
49,496,555
50,505,561
51,515,556
52,523,544
53,532,524
54,537,500
55,539,475
56,537,450
57,531,432
58,521,421
59,509,418
60,496,422
61,483,434
62,473,451
63,467,472
64,465,495
65,469,515
66,479,530
67,491,541
68,508,542
69,524,537
70,540,526
71,551,511
72,557,493
73,557,475
74,552,459
75,540,447
76,523,440
77,505,439
78,486,443
79,469,453
80,457,466
81,450,479
82,451,493
83,459,504
84,473,512
85,491,516
86,512,516
87,532,513
88,549,506
89,563,497
90,569,489
91,567,479
92,558,472
93,543,467
94,523,466
95,501,467
96,481,469
97,461,474
98,449,479
99,445,484
100,447,487
101,457,489
102,473,490
103,493,490
104,515,489
105,535,488
106,553,487
107,565,486
108,570,486
109,566,488
110,555,490
111,540,492
112,519,493
113,498,494
114,479,494
115,461,492
116,452,489
117,448,484
118,453,479
119,461,472
120,478,468
121,496,466
122,517,465
123,534,467
124,548,471
125,558,479
126,561,488
127,557,496
128,548,504
129,532,510
130,516,515
131,497,515
132,482,511
133,469,503
134,461,493
135,460,482
136,464,469
137,474,459
138,486,451
139,501,447
140,517,447
141,530,453
142,540,463
143,546,476
144,547,490
145,542,504
146,533,517
147,523,526
148,512,530
149,499,528
150,490,522
151,481,510
152,478,495
153,477,479
154,481,462
155,487,448
156,496,439
157,505,435
158,514,436
159,520,445
160,526,459
161,528,476
162,528,493
163,524,510
164,519,525
165,515,534
166,508,537
167,502,535
168,499,526
169,496,512
170,496,494
171,496,476
172,497,459
173,501,444
174,503,435
175,507,432
176,508,435
177,510,444
178,510,459
179,509,476
180,509,495
181,507,512
182,507,526
183,507,535
184,508,536
185,509,534
186,511,524
187,513,509
188,514,493
189,514,475
190,514,459
191,512,445
192,509,436
193,506,436
194,502,439
195,498,449
196,496,463
197,494,479
198,494,495
199,496,509
200,498,522
201,504,528
202,510,529
203,516,526
204,520,517
205,524,504
206,527,490
207,527,476
208,523,463
209,518,453
210,512,446
211,503,445
212,496,449
213,490,458
214,484,468
215,482,481
216,482,494
217,487,504
218,493,513
219,502,517
220,512,517
221,520,515
222,529,507
223,533,498
224,537,489
225,535,478
226,531,469
227,522,464
228,513,460
229,501,460
230,491,462
231,482,467
232,476,475
233,474,482
234,476,490
235,482,496
236,491,501
237,502,503
238,514,503
239,524,501
240,533,497
241,540,493
242,542,488
243,540,483
244,532,479
245,523,476
246,513,475
247,500,475
248,489,476
249,480,478
250,474,480
251,472,483
252,475,484
253,481,486
254,491,488
255,503,488
256,516,488
257,527,488
258,534,488
259,541,488
260,541,488
261,539,488
262,531,489
263,521,489
264,511,489
265,498,489
266,489,488
267,481,486
268,476,485
269,475,482
270,478,479
271,485,478
272,494,477
273,505,476
274,516,477
275,524,478
276,532,481
277,537,485
278,537,489
279,533,493
280,528,496
281,518,498
282,509,499
283,499,498
284,491,495
285,484,492
286,481,486
287,481,481
288,484,475
289,490,470
290,497,467
291,507,467
292,515,468
293,521,471
294,527,477
295,530,484
296,529,491
297,527,497
298,521,502
299,515,506
300,508,506
301,501,505
302,496,501
303,491,494
304,490,487
305,490,479
306,491,470
307,496,466
308,501,462
309,507,461
310,512,464
311,516,468
312,518,476
313,519,484
314,519,493
315,518,500
316,516,506
317,512,510
318,507,510
319,504,507
320,501,503
321,500,495
322,499,487
323,500,478
324,501,469
325,502,464
326,504,460
327,507,460
328,508,462
329,510,467
330,511,476
331,511,484
332,511,493
333,510,501
334,509,507
335,509,510
336,508,510
337,508,507
338,508,502
339,508,494
340,508,486
341,508,478
342,508,469
343,507,465
344,507,462
345,506,462
346,505,465
347,504,469
348,503,477
349,502,485
350,503,493
351,504,499
352,506,504
353,507,507
354,509,506
355,512,504
356,513,498
357,514,493
358,515,485
359,514,478
360,513,471
361,510,468
362,507,466
363,504,467
364,501,468
365,500,473
366,497,479
367,497,485
368,499,492
369,501,496
370,504,500
371,507,502
372,511,501
373,515,498
374,516,495
375,517,491
376,517,485
377,517,480
378,515,476
379,512,473
380,507,471
381,502,471
382,500,474
383,496,477
384,496,481
385,496,485
386,496,489
387,499,493
388,502,494
389,507,495
390,512,495
391,516,494
392,518,492
393,519,489
394,519,486
395,518,483
396,516,481
397,512,479
398,507,479
399,502,479
400,498,479
401,496,481
402,495,483
403,495,485
404,496,486
405,499,488
406,503,489
407,508,489
408,513,489
409,516,489
410,518,488
411,518,488
412,518,486
413,517,486
414,515,485
415,512,485
416,507,485
417,502,485
418,499,485
419,496,485
420,496,485
421,496,485
422,497,484
423,501,484
424,504,484
425,508,484
426,512,484
427,515,485
428,517,485
429,517,486
430,517,487
431,516,488
432,514,488
433,510,488
434,506,488
435,502,488
436,501,487
437,498,486
438,497,485
439,498,484
440,500,483
441,502,482
442,506,482
443,508,482
444,512,483
445,514,484
446,515,485
447,515,486
448,515,488
449,514,489
450,512,490
451,508,490
452,506,490
453,504,489
454,502,488
455,501,486
456,501,484
457,501,483
458,502,481
459,504,481
460,507,481
461,508,481
462,510,482
463,511,483
464,512,485
465,512,487
466,512,488
467,511,490
468,509,490
469,507,490
470,507,490
471,506,489
472,505,488
473,504,486
474,504,484
475,504,483
476,506,481
477,506,481
478,507,481
479,507,481
480,508,482
481,509,484
482,509,485
483,509,487
484,508,488
485,508,489
486,507,490
487,507,489
488,507,489
489,507,488
490,507,487
491,507,485
492,507,484
493,507,483
494,507,483
495,507,482
496,507,482
497,507,483
498,507,484
499,507,485
500,507,485