time (s), potA, potB
0,507,484
1,507,484
2,507,484
3,507,484
4,507,485
5,507,484
6,507,484
7,507,484
8,507,484
9,507,484
10,507,484
11,507,485
12,507,485
13,507,485
14,507,485
15,507,485
16,507,485
17,507,485
18,507,485
19,507,484
20,507,485
21,507,484
22,507,485
23,507,485
24,507,485
25,507,485
26,507,485
27,507,485
28,507,485
29,507,485
30,507,485
31,507,485
32,505,488
33,498,492
34,491,497
35,479,506
36,469,516
37,459,526
38,450,533
39,444,540
40,437,544
41,434,547
42,432,550
43,430,554
44,428,557
45,426,560
46,424,563
47,420,566
48,419,568
49,419,571
50,418,573
51,417,573
52,417,573
53,417,573
54,417,573
55,417,573
56,418,573
57,418,573
58,419,573
59,420,573
60,424,573
61,426,572
62,427,573
63,426,573
64,426,573
65,426,573
66,432,570
67,447,556
68,457,544
69,483,517
70,506,492
71,527,465
72,551,436
73,564,424
74,575,407
75,575,407
76,570,408
77,559,421
78,538,442
79,516,466
80,491,495
81,469,520
82,450,543
83,440,557
84,436,564
85,439,563
86,451,552
87,466,536
88,489,512
89,512,487
90,533,462
91,553,437
92,567,422
93,572,411
94,572,409
95,564,416
96,548,430
97,530,449
98,508,473
99,486,498
100,466,522
101,452,541
102,443,553
103,440,558
104,444,557
105,456,546
106,475,527
107,495,505
108,517,481
109,537,457
110,555,436
111,567,424
112,571,416
113,569,416
114,560,423
115,545,436
116,525,456
117,504,478
118,483,502
119,464,523
120,452,540
121,444,549
122,444,552
123,451,548
124,464,536
125,482,520
126,503,498
127,524,476
128,542,455
129,556,436
130,566,425
131,568,421
132,564,423
133,554,431
134,538,444
135,518,464
136,497,485
137,478,505
138,462,525
139,452,538
140,446,546
141,448,547
142,457,541
143,471,528
144,490,512
145,508,492
146,528,470
147,546,453
148,557,436
149,564,429
150,565,425
151,560,429
152,547,436
153,531,452
154,512,469
155,493,491
156,476,509
157,462,526
158,454,536
159,451,542
160,454,541
161,463,534
162,478,522
163,495,504
164,514,486
165,532,467
166,547,451
167,557,437
168,562,432
169,562,431
170,554,435
171,541,444
172,525,460
173,507,477
174,489,495
175,473,511
176,461,526
177,454,534
178,454,536
179,460,535
180,470,526
181,485,513
182,502,497
183,520,481
184,535,465
185,549,450
186,556,440
187,560,435
188,556,436
189,548,442
190,534,453
191,519,467
192,502,483
193,486,498
194,472,513
195,462,525
196,457,531
197,459,532
198,464,527
199,476,520
200,491,506
201,507,492
202,523,477
203,538,462
204,549,450
205,555,443
206,556,440
207,551,442
208,542,448
209,529,461
210,513,473
211,497,489
212,483,502
213,470,514
214,463,523
215,461,526
216,463,526
217,471,521
218,482,511
219,496,498
220,512,486
221,526,472
222,540,461
223,548,451
224,553,446
225,552,445
226,546,448
227,535,456
228,522,467
229,508,479
230,493,493
231,480,504
232,470,514
233,465,521
234,463,523
235,468,521
236,476,514
237,488,504
238,502,493
239,516,481
240,529,469
241,540,460
242,547,453
243,549,449
244,547,449
245,541,455
246,530,464
247,517,473
248,504,485
249,491,496
250,479,505
251,471,513
252,467,518
253,468,518
254,473,515
255,482,508
256,493,498
257,507,489
258,520,477
259,531,467
260,540,460
261,546,455
262,546,454
263,543,455
264,534,462
265,525,469
266,512,479
267,500,489
268,489,498
269,479,506
270,473,511
271,470,513
272,472,512
273,478,509
274,488,502
275,498,493
276,511,484
277,522,474
278,532,467
279,540,461
280,543,458
281,542,458
282,538,462
283,530,467
284,519,475
285,508,484
286,496,493
287,487,499
288,479,505
289,475,509
290,474,510
291,477,508
292,484,503
293,491,496
294,503,489
295,514,480
296,524,472
297,532,467
298,538,464
299,540,463
300,538,464
301,532,467
302,525,472
303,515,479
304,506,488
305,494,494
306,487,500
307,479,504
308,477,505
309,477,505
310,482,502
311,488,497
312,497,492
313,507,484
314,517,477
315,525,471
316,532,467
317,535,466
318,536,466
319,533,468
320,528,471
321,520,477
322,512,484
323,502,491
324,493,495
325,487,499
326,481,502
327,480,503
328,482,501
329,486,497
330,492,493
331,501,488
332,510,481
333,519,477
334,526,472
335,530,469
336,533,468
337,533,469
338,529,472
339,525,477
340,517,481
341,508,487
342,500,492
343,491,495
344,487,497
345,484,498
346,484,498
347,485,496
348,490,493
349,496,489
350,505,484
351,512,479
352,520,476
353,526,474
354,529,472
355,530,472
356,529,474
357,525,477
358,520,480
359,512,485
360,506,489
361,498,492
362,491,494
363,489,496
364,487,496
365,487,494
366,489,492
367,494,490
368,500,486
369,507,482
370,513,479
371,520,477
372,525,476
373,527,476
374,527,477
375,526,478
376,521,481
377,517,484
378,510,487
379,504,490
380,497,492
381,492,493
382,490,493
383,489,492
384,490,491
385,492,489
386,497,486
387,503,484
388,509,481
389,515,479
390,520,478
391,522,478
392,525,479
393,524,480
394,522,481
395,518,484
396,513,485
397,508,488
398,503,489
399,498,490
400,494,490
401,491,490
402,491,489
403,492,488
404,496,486
405,501,484
406,506,483
407,511,482
408,515,481
409,519,481
410,521,481
411,521,482
412,521,484
413,519,484
414,515,485
415,512,486
416,507,487
417,502,488
418,498,487
419,495,487
420,494,486
421,495,486
422,496,485
423,499,484
424,503,484
425,507,484
426,512,484
427,514,484
428,518,484
429,519,485
430,520,484
