time (s), potA, potB
0,507,483
1,507,483
2,507,483
3,507,483
4,507,483
5,507,483
6,507,483
7,507,483
8,507,483
9,507,483
10,508,483
11,507,483
12,507,483
13,507,483
14,507,483
15,507,483
16,507,485
17,507,489
18,507,494
19,507,503
20,507,514
21,507,525
22,508,536
23,508,544
24,508,551
25,508,557
26,508,560
27,508,565
28,507,568
29,507,570
30,507,570
31,507,570
32,507,570
33,507,569
34,507,570
35,507,570
36,508,570
37,508,570
38,508,569
39,512,557
40,515,541
41,517,523
42,523,488
43,523,461
44,524,435
45,518,416
46,509,415
47,498,415
48,483,428
49,474,449
50,464,472
51,464,497
52,471,515
53,482,528
54,502,533
55,522,529
56,545,521
57,560,506
58,569,493
59,571,480
60,561,471
61,545,465
62,520,464
63,496,467
64,471,472
65,452,477
66,442,479
67,441,480
68,450,477
69,468,473
70,491,469
71,516,466
72,539,467
73,556,471
74,566,480
75,568,491
76,561,504
77,546,516
78,527,525
79,507,527
80,490,524
81,477,514
82,469,497
83,468,478
84,473,456
85,482,439
86,494,426
87,505,422
88,515,425
89,520,438
90,522,458
91,522,483
92,520,508
93,517,530
94,515,545
95,513,550
96,514,547
97,515,534
98,518,514
99,519,489
100,521,464
101,520,444
102,515,429
103,507,423
104,497,426
105,488,436
106,479,453
107,474,472
108,474,493
109,478,507
110,490,520
111,503,525
112,519,524
113,537,517
114,549,506
115,558,494
116,559,483
117,552,474
118,538,468
119,519,465
120,499,466
121,479,470
122,462,473
123,454,477
124,453,479
125,459,478
126,473,477
127,491,475
128,512,473
129,531,475
130,547,478
131,556,482
132,559,490
133,554,499
134,543,506
135,528,514
136,511,516
137,495,514
138,481,506
139,474,494
140,472,480
141,474,464
142,481,449
143,491,440
144,502,434
145,512,437
146,519,446
147,523,462
148,525,481
149,523,501
150,520,518
151,518,531
152,515,538
153,513,536
154,512,527
155,512,512
156,513,493
157,514,472
158,513,454
159,511,441
160,506,433
161,501,433
162,495,440
163,490,452
164,486,469
165,485,486
166,488,503
167,494,514
168,503,522
169,515,524
170,527,518
171,537,509
172,544,498
173,546,487
174,542,477
175,533,467
176,520,463
177,505,462
178,491,463
179,477,467
180,468,471
181,464,477
182,467,481
183,476,482
184,490,484
185,505,484
186,521,484
187,536,485
188,547,486
189,551,489
190,549,493
191,543,495
192,531,499
193,517,502
194,501,501
195,489,497
196,479,492
197,474,483
198,474,473
199,478,463
200,487,456
201,496,452
202,507,452
203,518,455
204,525,464
205,530,478
206,530,491
207,528,504
208,523,516
209,518,524
210,513,525
211,507,521
212,504,511
213,502,498
214,501,482
215,502,466
216,502,453
217,502,444
218,502,441
219,502,443
220,501,451
221,500,463
222,500,479
223,500,494
224,501,506
225,506,516
226,511,521
227,517,520
228,521,515
229,527,505
230,530,494
231,529,481
232,525,470
233,519,462
234,511,457
235,501,456
236,491,459
237,484,464
238,479,472
239,478,480
240,481,487
241,490,493
242,499,495
243,512,495
244,522,495
245,532,494
246,540,493
247,541,490
248,540,489
249,532,487
250,522,486
251,511,485
252,498,485
253,489,483
254,480,482
255,477,479
256,477,476
257,482,472
258,491,470
259,501,468
260,512,469
261,521,472
262,529,478
263,532,483
264,533,492
265,531,498
266,525,505
267,518,507
268,510,507
269,502,505
270,496,498
271,493,489
272,492,479
273,492,468
274,496,461
275,499,454
276,502,453
277,507,455
278,510,462
279,512,471
280,513,482
281,514,494
282,514,505
283,513,511
284,513,515
285,514,514
286,514,508
287,514,500
288,514,489
289,514,479
290,513,468
291,509,461
292,506,456
293,502,455
294,498,459
295,495,465
296,494,473
297,493,482
298,496,492
299,500,498
300,505,503
301,513,504
302,518,503
303,523,499
304,528,494
305,529,489
306,527,482
307,522,478
308,517,475
309,508,472
310,500,472
311,492,473
312,487,475
313,485,478
314,485,480
315,490,481
316,496,482
317,503,483
318,513,484
319,519,485
320,526,486
321,530,487
322,531,489
323,528,490
324,522,492
325,516,493
326,508,492
327,501,490
328,495,487
329,491,483
330,490,480
331,491,475
332,493,471
333,498,469
334,504,468
335,510,470
336,515,473
337,518,479
338,519,484
339,519,491
340,518,496
341,517,502
342,514,504
343,510,503
344,507,499
345,504,494
346,503,487
347,502,479
348,502,472
349,502,466
350,503,463
351,504,463
352,505,464
353,505,470
354,506,477
355,506,483
356,507,491
357,508,496
358,509,502
359,511,503
360,514,502
361,515,498
362,516,493
363,516,487
364,515,481
365,514,475
366,511,471
367,507,469
368,503,469
369,500,471
370,497,474
371,496,479
372,496,483
373,498,487
374,501,490
375,506,493
376,512,493
377,516,493
378,518,491
379,521,489
380,521,487
381,519,484
382,517,483
383,514,482
384,507,481
385,502,481
386,498,481
387,496,481
388,495,481
389,495,481
390,496,481
391,501,481
392,506,481
393,511,482
394,515,482
395,518,483
396,519,485
397,519,487
398,518,489
399,516,490
400,512,491
401,508,490
402,504,489
403,501,487
404,500,484
405,499,481
406,500,478
407,501,476
408,503,474
409,506,474
410,508,475
411,511,478
412,513,481
413,514,484
414,514,489
415,513,492
416,512,494
417,511,494
418,509,494
419,508,492
420,507,489
421,507,484
422,507,481
423,507,478
424,507,475
425,506,473
426,506,473
427,506,475
428,506,478
429,506,481
430,506,484
431,506,487
432,507,490
433,508,492
434,510,493
435,511,492
436,512,490
437,513,488
438,513,484
439,513,482
440,511,480
441,509,478
442,507,478
443,505,478
444,503,479
445,502,480
446,502,481
447,502,483
448,503,484
449,506,485
450,507,486
451,510,486
452,512,486
453,514,485
454,514,485
455,514,485
456,514,484
457,512,484
458,509,484
459,507,483
460,505,483
461,503,483
462,502,483
463,502,483
464,503,482
465,505,482
466,506,482
467,508,482
468,509,482
469,511,483
470,512,483
471,512,484
472,512,485
473,511,485
474,510,486
475,508,486
476,507,485
477,506,485
478,506,484
479,506,483
480,506,482
481,506,481
482,506,481
483,507,481
484,507,481
485,507,482
486,508,482
487,508,483
488,508,484
489,508,485
490,508,485
491,508,486
492,508,486
493,508,485
494,508,484
495,508,484
496,508,483
497,508,482
498,508,482
499,507,482
500,507,482