time (s), potA, potB
0,508,485
1,508,485
2,508,485
3,508,485
4,508,485
5,508,485
6,508,485
7,508,485
8,508,485
9,509,485
10,508,485
11,508,485
12,508,485
13,508,485
14,508,485
15,508,485
16,508,485
17,508,485
18,508,485
19,508,485
20,508,485
21,508,485
22,508,485
23,509,485
24,508,485
25,508,485
26,508,485
27,508,485
28,508,485
29,508,485
30,509,485
31,508,485
32,508,485
33,509,486
34,507,488
35,500,492
36,491,496
37,479,501
38,468,509
39,459,517
40,454,526
41,450,534
42,449,541
43,448,545
44,445,548
45,442,551
46,440,554
47,436,556
48,436,557
49,435,558
50,435,558
51,436,558
52,436,558
53,436,558
54,436,560
55,436,561
56,436,562
57,436,563
58,436,564
59,436,565
60,435,566
61,434,568
62,433,570
63,432,570
64,432,572
65,431,574
66,431,574
67,430,575
68,429,575
69,427,574
70,427,574
71,427,574
72,436,566
73,450,552
74,466,537
75,496,506
76,518,481
77,546,449
78,565,429
79,576,412
80,585,406
81,578,407
82,567,417
83,546,436
84,519,463
85,496,492
86,469,518
87,452,542
88,437,556
89,433,564
90,438,562
91,452,549
92,472,530
93,495,505
94,521,478
95,545,452
96,565,431
97,576,416
98,579,408
99,575,412
100,562,423
101,543,442
102,518,466
103,494,492
104,470,517
105,453,537
106,439,551
107,436,558
108,441,555
109,454,544
110,474,526
111,497,502
112,521,477
113,546,452
114,565,432
115,576,421
116,578,416
117,574,419
118,561,430
119,541,447
120,517,469
121,493,494
122,469,518
123,451,536
124,441,548
125,438,553
126,445,549
127,457,537
128,476,520
129,499,497
130,523,474
131,546,452
132,564,435
133,574,425
134,576,421
135,571,425
136,557,435
137,539,453
138,516,475
139,492,497
140,469,519
141,453,535
142,444,546
143,441,547
144,446,544
145,460,531
146,478,513
147,500,493
148,524,470
149,545,451
150,563,436
151,572,427
152,574,425
153,568,430
154,555,442
155,536,459
156,515,479
157,492,499
158,471,520
159,455,534
160,446,543
161,445,544
162,449,538
163,462,526
164,480,508
165,502,489
166,524,468
167,544,450
168,560,436
169,569,430
170,570,430
171,565,435
172,552,447
173,534,464
174,514,484
175,492,503
176,473,521
177,458,533
178,448,540
179,448,540
180,454,534
181,467,521
182,483,503
183,503,484
184,523,466
185,543,448
186,557,436
187,566,432
188,567,432
189,562,438
190,548,452
191,532,468
192,513,488
193,492,505
194,474,522
195,460,533
196,453,537
197,452,536
198,458,528
199,469,516
200,487,498
201,504,481
202,523,464
203,540,448
204,555,437
205,562,434
206,563,435
207,556,443
208,545,455
209,529,472
210,512,491
211,492,507
212,475,522
213,462,532
214,457,536
215,456,534
216,461,526
217,474,512
218,489,496
219,506,478
220,523,462
221,539,447
222,551,438
223,557,435
224,557,437
225,552,446
226,541,460
227,527,476
228,510,493
229,492,509
230,477,522
231,467,531
232,460,534
233,460,531
234,467,522
235,477,509
236,491,493
237,508,477
238,523,461
239,537,447
240,548,439
241,554,436
242,554,440
243,548,449
244,536,463
245,524,478
246,508,495
247,491,510
248,478,522
249,469,529
250,464,532
251,465,528
252,471,520
253,481,506
254,495,491
255,509,475
256,524,460
257,535,447
258,545,441
259,549,439
260,548,443
261,543,452
262,533,465
263,519,480
264,506,496
265,491,510
266,479,522
267,472,527
268,468,529
269,469,526
270,475,516
271,486,503
272,497,489
273,512,474
274,524,460
275,535,448
276,543,443
277,546,442
278,545,446
279,538,455
280,528,467
281,516,481
282,504,496
283,491,510
284,480,521
285,474,526
286,472,527
287,474,523
288,479,514
289,489,502
290,500,488
291,514,473
292,525,461
293,534,451
294,540,445
295,543,444
296,540,448
297,533,457
298,524,469
299,514,483
300,501,496
301,491,509
302,481,519
303,476,524
304,474,524
305,477,521
306,484,511
307,493,499
308,504,487
309,515,473
310,526,462
311,534,453
312,538,447
313,540,447
314,536,452
315,530,460
316,521,470
317,511,484
318,499,496
319,490,507
320,482,516
321,478,522
322,477,521
323,480,517
324,487,509
325,496,497
326,507,486
327,516,474
328,526,464
329,533,455
330,535,451
331,536,451
332,533,455
333,527,464
334,517,473
335,508,485
336,497,496
337,490,506
338,483,514
339,480,517
340,480,518
341,484,513
342,491,505
343,498,496
344,508,485
345,517,474
346,526,464
347,531,457
348,534,454
349,534,454
350,530,458
351,524,466
352,515,475
353,506,486
354,496,496
355,490,505
356,485,511
357,482,514
358,483,514
359,487,510
360,493,503
361,501,494
362,511,484
363,518,474
364,526,466
365,530,460
366,533,457
367,531,458
368,528,462
369,521,468
370,514,477
371,505,487
372,496,496
373,490,503
374,486,509
375,484,511
376,486,511
377,489,506
378,496,499
379,503,492
380,512,483
381,518,475
382,526,467
383,529,463
384,530,461
385,529,462
386,525,466
387,518,470
388,512,479
389,504,488
390,496,495
391,490,502
392,487,506
393,486,508
394,487,506
395,491,503
396,497,497
397,505,490
398,513,482
399,518,475
400,525,468
401,528,465
402,529,464
