time (s), potA, potB
0,511,477
1,511,477
2,511,477
3,511,477
4,511,477
5,511,477
6,511,477
7,512,477
8,511,477
9,511,477
10,511,477
11,510,480
12,510,485
13,509,494
14,507,507
15,507,520
16,507,532
17,507,544
18,508,551
19,508,560
20,508,564
21,508,564
22,509,564
23,509,564
24,508,564
25,508,564
26,507,564
27,506,564
28,505,564
29,505,564
30,505,564
31,506,564
32,506,564
33,506,564
34,506,564
35,506,564
36,510,545
37,518,529
38,522,504
39,538,475
40,540,449
41,534,430
42,528,426
43,505,430
44,487,441
45,467,462
46,454,476
47,456,489
48,465,494
49,488,489
50,513,486
51,539,476
52,559,471
53,569,472
54,569,478
55,557,493
56,538,504
57,514,516
58,495,520
59,481,512
60,475,500
61,480,477
62,486,453
63,500,432
64,509,419
65,515,417
66,517,424
67,511,444
68,506,470
69,498,498
70,496,520
71,501,532
72,509,534
73,524,524
74,537,507
75,549,488
76,555,471
77,549,457
78,538,452
79,518,454
80,496,461
81,474,471
82,461,477
83,457,480
84,461,478
85,477,470
86,496,463
87,519,456
88,537,456
89,549,461
90,554,472
91,549,491
92,538,506
93,523,523
94,512,527
95,502,526
96,498,515
97,500,494
98,502,471
99,509,447
100,512,432
101,513,423
102,509,425
103,501,436
104,494,454
105,486,478
106,485,494
107,490,508
108,500,515
109,516,513
110,531,505
111,548,494
112,555,483
113,556,475
114,550,471
115,534,472
116,516,477
117,495,481
118,478,482
119,468,482
120,466,477
121,472,467
122,484,458
123,501,449
124,517,446
125,528,448
126,536,458
127,537,473
128,533,493
129,525,509
130,518,524
131,513,527
132,510,525
133,511,512
134,514,495
135,517,473
136,518,454
137,518,441
138,514,434
139,505,435
140,496,444
141,487,459
142,480,474
143,480,487
144,485,495
145,497,501
146,513,499
147,529,494
148,543,489
149,551,483
150,554,481
151,548,481
152,535,482
153,519,487
154,501,489
155,489,489
156,478,485
157,476,478
158,479,467
159,487,456
160,499,447
161,510,444
162,519,446
163,524,454
164,526,468
165,525,485
166,520,503
167,517,515
168,515,523
169,514,521
170,516,513
171,518,499
172,521,482
173,522,465
174,521,453
175,517,444
176,508,444
177,498,448
178,490,457
179,482,468
180,480,479
181,483,487
182,492,492
183,505,493
184,519,490
185,533,487
186,544,484
187,548,483
188,547,483
189,538,485
190,526,489
191,512,492
192,499,492
193,490,489
194,483,482
195,482,473
196,487,463
197,495,453
198,503,448
199,512,447
200,518,452
201,520,462
202,521,475
203,519,489
204,517,504
205,516,512
206,515,517
207,516,514
208,518,505
209,519,493
210,521,479
211,521,465
212,518,455
213,514,450
214,506,450
215,497,453
216,491,462
217,486,471
218,485,479
219,490,485
220,496,489
221,507,489
222,519,489
223,531,486
224,539,484
225,542,483
226,540,484
227,533,485
228,523,487
229,512,489
230,501,489
231,491,485
232,487,481
233,487,473
234,490,465
235,496,458
236,502,454
237,511,453
238,517,457
239,519,464
240,521,476
241,520,487
242,518,498
243,517,506
244,516,509
245,515,508
246,516,503
247,517,493
248,517,481
249,517,469
250,516,460
251,512,453
252,507,453
253,501,455
254,496,461
255,491,469
256,491,478
257,493,484
258,499,489
259,507,491
260,517,491
261,525,490
262,532,487
263,536,485
264,536,483
265,532,483
266,523,483
267,515,483
268,504,483
269,496,482
270,491,479
271,490,476
272,490,470
273,495,466
274,501,463
275,507,462
276,515,463
277,519,466
278,522,475
279,523,483
280,522,491
281,519,498
282,517,503
283,515,504
284,513,500
285,512,494
286,512,485
287,512,475
288,512,466
289,511,459
290,508,455
291,506,455
292,503,460
293,501,465
294,500,473
295,500,482
296,501,488
297,506,493
298,513,494
299,518,493
300,523,490
301,528,487
302,530,483
303,529,480
304,524,478
305,518,476
306,511,476
307,502,477
308,496,476
309,492,476
310,491,475
311,493,473
312,497,472
313,504,471
314,512,470
315,517,472
316,521,475
317,524,479
318,524,484
319,522,489
320,519,493
321,516,495
322,512,495
323,508,493
324,506,488
325,505,481
326,505,473
327,506,466
328,507,463
329,507,461
330,507,461
331,507,464
332,507,470
333,507,477
334,507,483
335,508,489
336,511,493
337,514,494
338,517,493
339,518,490
340,520,487
341,521,482
342,520,477
343,518,473
344,514,471
345,508,471
346,504,471
347,500,472
348,497,474
349,496,476
350,498,477
351,502,478
352,507,478
353,513,478
354,517,479
355,520,479
356,523,481
357,523,483
358,521,484
359,518,486
360,515,487
361,511,487
362,506,485
363,503,483
364,502,479
365,502,475
366,503,471
367,506,467
368,507,467
369,510,467
370,512,470
371,513,474
372,514,479
373,514,483
374,514,488
375,514,490
376,514,491
377,514,490
378,514,489
379,515,484
380,515,480
381,514,476
382,514,472
383,511,470
384,508,469
385,506,470
386,505,472
387,503,475
388,503,478
389,504,480
390,507,482
391,509,483
392,513,483
393,516,483
394,518,483
395,518,482
396,518,481
397,518,481
398,516,481
399,514,481
400,510,481
401,507,480
402,504,479
403,503,478
404,503,477
405,505,476
406,507,475
407,509,474
408,512,475
409,514,476
410,515,477
411,515,479
412,515,482
413,515,484
414,514,485
415,513,486
416,512,485
417,511,484
418,511,482
419,511,479
420,511,477
421,511,475
422,511,473
423,510,473
424,510,474
425,509,475
426,508,477
427,508,479
428,509,481
429,510,483
430,511,483
431,513,483
432,514,483
433,514,482
434,515,481
435,515,479
436,514,479
437,514,478
438,512,478
439,510,478
440,508,478
441,507,478
442,507,478
443,507,478
444,508,478
445,509,478
446,511,478
447,512,478
448,513,479
449,514,479
450,514,479
451,514,480
452,514,481
453,512,481
454,511,481
455,511,481
456,510,480
457,510,479
458,510,479
459,510,478
460,510,477
461,511,477
462,511,477
463,511,478
464,511,478
465,511,478
466,511,479
467,511,480
468,511,480
469,511,480
470,511,480
471,511,480
472,512,479
473,512,479
474,511,479
475,511,479
476,511,479
477,511,479
478,511,479
479,511,479
480,511,479
481,511,479
482,511,479
483,511,479
484,511,479
485,511,479
486,511,479
487,511,479
488,511,479
489,511,479
490,511,479
491,511,479
492,511,479
493,511,479
494,511,479
495,511,479
496,511,479
497,511,479
498,511,479
499,511,479
500,511,479