time (s), potA, potB
0,508,510
1,507,510
2,508,510
3,508,510
4,507,510
5,507,510
6,508,510
7,508,510
8,508,510
9,508,510
10,507,510
11,507,510
12,508,510
13,507,510
14,507,511
15,508,512
16,507,515
17,508,519
18,508,525
19,508,532
20,508,540
21,507,547
22,508,554
23,508,560
24,508,566
25,507,572
26,507,575
27,507,580
28,507,583
29,508,586
30,508,589
31,507,591
32,507,593
33,507,595
34,508,597
35,507,597
36,507,597
37,508,596
38,507,597
39,508,596
40,507,586
41,508,577
42,508,556
43,507,528
44,507,505
45,508,475
46,508,457
47,508,437
48,508,431
49,508,432
50,508,436
51,508,453
52,508,473
53,507,499
54,507,525
55,507,548
56,508,569
57,508,581
58,508,588
59,508,584
60,508,573
61,508,556
62,508,534
63,507,507
64,508,484
65,508,463
66,507,446
67,508,436
68,508,436
69,508,441
70,508,453
71,508,473
72,508,496
73,507,521
74,508,544
75,508,562
76,507,575
77,507,581
78,508,579
79,508,570
80,508,554
81,508,535
82,508,511
83,508,489
84,508,468
85,508,453
86,508,443
87,508,442
88,508,444
89,508,455
90,508,473
91,508,494
92,508,517
93,508,538
94,508,556
95,507,568
96,508,575
97,508,574
98,508,567
99,508,553
100,508,535
101,507,514
102,508,493
103,508,473
104,508,459
105,508,449
106,508,447
107,508,448
108,508,459
109,508,475
110,508,494
111,508,515
112,507,535
113,507,550
114,508,564
115,507,569
116,508,569
117,508,564
118,508,551
119,508,535
120,508,515
121,508,495
122,508,478
123,507,464
124,507,454
125,508,452
126,508,453
127,508,462
128,508,476
129,507,493
130,507,512
131,508,531
132,507,547
133,508,558
134,508,564
135,508,565
136,508,560
137,508,549
138,508,534
139,507,516
140,508,498
141,507,481
142,508,468
143,508,460
144,508,456
145,508,458
146,508,465
147,508,478
148,508,494
149,508,511
150,508,528
151,507,543
152,507,553
153,508,559
154,508,560
155,508,557
156,508,546
157,507,533
158,508,517
159,508,500
160,507,485
161,508,472
162,508,465
163,508,462
164,507,463
165,507,468
166,508,479
167,508,494
168,508,510
169,508,526
170,508,539
171,508,548
172,507,555
173,507,555
174,508,551
175,508,544
176,507,531
177,508,517
178,508,502
179,508,488
180,508,477
181,508,468
182,508,466
183,508,467
184,507,472
185,508,483
186,508,495
187,508,509
188,507,524
189,508,536
190,508,546
191,508,550
192,508,550
193,508,548
194,508,541
195,508,529
196,508,516
197,508,503
198,508,491
199,507,480
200,508,473
201,508,469
202,507,470
203,507,476
204,508,485
205,507,496
206,508,509
207,508,522
208,508,534
209,508,542
210,508,546
211,508,547
212,508,545
213,508,537
214,507,527
215,508,516
216,507,503
217,507,493
218,507,484
219,508,477
220,508,475
221,508,476
222,508,479
223,508,488
224,507,498
225,507,509
226,508,521
227,508,531
228,507,537
229,508,543
230,507,543
231,508,541
232,508,535
233,508,526
234,508,515
235,508,504
236,508,494
237,507,486
238,508,481
239,508,479
240,507,479
241,508,484
242,508,491
243,508,498
244,508,509
245,508,520
246,508,528
247,507,535
248,507,537
249,508,538
250,508,536
251,508,531
252,508,524
253,508,515
254,508,505
255,507,496
256,508,490
257,508,485
258,508,483
259,508,484
260,508,487
261,508,493
262,507,501
263,508,509
264,508,518
265,508,526
266,508,531
267,508,535
268,508,535
269,508,533
270,507,528
271,508,522
272,508,513
273,508,505
274,508,498
275,508,493
276,508,489
277,508,488
278,508,488
279,508,491
280,508,496
281,507,503
282,508,509
283,507,517
284,508,524
285,507,528
286,508,531
287,507,531
288,508,529
289,508,526
290,508,521
291,508,512
292,508,506
293,507,499
294,507,495
295,508,492
296,508,492
297,507,492
298,508,494
299,507,498
300,508,504
301,507,510
302,508,516
303,507,522
304,508,525
305,508,526
306,508,526
307,508,526
308,508,522
309,508,518
310,507,511
311,508,506
312,508,502
313,508,497
314,508,496
315,508,495
316,508,495
317,508,497
318,508,501
319,508,505
320,507,510
321,507,515
322,508,520
323,508,522
324,508,524
325,508,523
326,508,522
327,508,520
328,508,515
329,508,511
330,508,506
331,508,503
332,507,500
333,508,498
334,508,498
335,507,498
336,507,501
337,508,503
338,508,506
339,508,510
340,508,514
341,508,517
342,508,519
343,508,520
344,508,520
345,508,518
346,508,516
347,508,513
348,508,511
349,508,507
350,508,505
351,508,503
352,507,502
353,508,503
354,507,503
355,507,504
356,508,506
357,508,508
358,507,510
359,508,513
360,508,515
361,508,515
362,508,515
363,508,515
364,508,514
365,508,513
366,507,511
367,508,510
368,508,508
369,508,506
370,508,506
371,507,506
372,508,506
373,508,506
374,508,506
375,508,507
376,507,509
377,507,510
378,508,511
379,508,511
380,507,512
381,508,511
382,508,511
383,508,511
384,508,511
385,508,510
386,508,510
387,508,510
388,507,509
389,507,509
390,508,510
391,508,510
392,507,510
393,508,510
394,507,510
395,508,510
396,508,510
397,508,510
398,508,510
399,507,510
400,507,510
401,508,510
402,508,510
403,508,510
404,507,510
405,508,510
406,507,510
407,507,510
408,508,510
409,508,510
410,508,510
411,508,510
412,508,510
413,507,510
414,508,510
415,508,510
416,508,510
417,508,510
418,508,510
419,508,510
420,508,510
421,508,510
422,508,510
423,507,510
424,508,510
425,507,510
426,507,510
427,508,510
428,507,510
429,507,510
430,507,510
431,507,510
432,507,510
433,507,510
434,508,510
435,507,510
436,507,510
437,508,510
438,508,510
439,508,510
440,507,510
441,507,510
442,508,510
443,507,510
444,507,510
445,507,510
446,508,510
447,508,510
448,508,510
449,508,510
450,508,510
451,508,510
452,507,510
453,508,510
454,508,510
455,508,510
456,508,510
457,508,510
458,507,510
459,508,510
460,507,510
461,507,510
462,507,510
463,508,510
464,507,510
465,508,510
466,508,510
467,508,510
468,508,510
469,508,510
470,508,510
471,508,510
472,507,510
473,508,510
474,508,510
475,508,510
476,508,510
477,508,510
478,507,510
479,508,510
480,508,510
481,508,510
482,507,510
483,508,510
484,508,510
485,507,510
486,507,510
487,508,510
488,508,510
489,508,510
490,508,510
491,508,510
492,508,510
493,508,510
494,507,510
495,508,510
496,507,510
497,507,510
498,508,510
499,508,510
500,507,510