time (s), potA, potB
0,509,504
1,509,505
2,509,504
3,509,505
4,510,505
5,509,505
6,509,504
7,509,505
8,510,505
9,509,505
10,509,505
11,510,505
12,510,505
13,509,505
14,509,505
15,510,505
16,510,505
17,510,505
18,509,505
19,509,506
20,507,508
21,504,515
22,500,523
23,492,531
24,485,542
25,477,553
26,468,566
27,460,575
28,454,584
29,450,591
30,447,592
31,444,592
32,442,592
33,442,592
34,441,591
35,440,592
36,439,592
37,438,592
38,437,592
39,437,592
40,437,592
41,437,592
42,437,592
43,436,592
44,435,592
45,435,592
46,434,592
47,432,592
48,431,592
49,430,592
50,429,592
51,428,592
52,428,592
53,428,592
54,428,592
55,428,592
56,428,592
57,428,592
58,428,592
59,428,592
60,428,592
61,428,592
62,429,591
63,439,574
64,457,557
65,477,534
66,512,494
67,537,468
68,562,440
69,576,430
70,573,430
71,566,437
72,544,465
73,516,494
74,489,526
75,461,554
76,448,571
77,442,579
78,450,570
79,469,550
80,492,524
81,522,492
82,547,464
83,566,442
84,572,435
85,570,436
86,556,449
87,532,474
88,504,504
89,478,533
90,457,554
91,447,568
92,446,570
93,457,559
94,477,540
95,503,512
96,531,484
97,553,461
98,567,447
99,571,443
100,565,447
101,548,464
102,523,487
103,497,515
104,473,538
105,456,555
106,448,563
107,450,559
108,462,546
109,484,525
110,510,500
111,533,475
112,554,457
113,565,447
114,566,446
115,557,456
116,539,477
117,516,501
118,492,525
119,471,546
120,459,557
121,455,560
122,460,554
123,474,537
124,495,515
125,517,490
126,538,468
127,553,453
128,559,447
129,557,450
130,546,462
131,527,483
132,506,506
133,486,531
134,470,548
135,461,557
136,461,557
137,470,549
138,485,531
139,504,508
140,525,485
141,542,466
142,552,455
143,555,452
144,549,455
145,535,471
146,518,491
147,497,512
148,480,532
149,468,546
150,462,551
151,466,550
152,477,541
153,494,524
154,514,504
155,532,483
156,546,469
157,553,460
158,552,459
159,545,466
160,529,480
161,512,497
162,492,517
163,478,532
164,468,542
165,465,546
166,470,542
167,482,530
168,498,513
169,517,494
170,532,480
171,545,468
172,549,464
173,549,465
174,539,474
175,524,490
176,508,506
177,491,524
178,479,536
179,470,542
180,470,542
181,477,536
182,489,523
183,503,505
184,519,489
185,532,475
186,541,467
187,545,465
188,541,470
189,532,481
190,518,495
191,503,511
192,491,526
193,480,537
194,477,541
195,478,539
196,484,531
197,496,518
198,509,502
199,522,486
200,532,475
201,539,469
202,539,468
203,533,473
204,523,483
205,512,498
206,499,513
207,489,525
208,480,534
209,479,537
210,482,535
211,491,525
212,502,514
213,515,501
214,526,488
215,533,480
216,537,473
217,535,474
218,529,480
219,519,490
220,507,502
221,496,514
222,487,524
223,481,529
224,480,530
225,486,527
226,495,519
227,505,508
228,517,497
229,526,488
230,532,482
231,534,480
232,533,481
233,526,486
234,517,496
235,506,506
236,496,516
237,490,524
238,485,525
239,485,525
240,490,522
241,496,513
242,506,504
243,517,494
244,523,486
245,529,482
246,530,482
247,527,484
248,522,492
249,514,501
250,505,509
251,497,518
252,492,523
253,491,525
254,491,524
255,495,518
256,502,509
257,509,501
258,517,493
259,521,487
260,524,484
261,524,484
262,521,488
263,517,494
264,510,504
265,503,510
266,497,517
267,495,522
268,494,523
269,496,520
270,501,515
271,506,507
272,513,501
273,518,494
274,520,491
275,522,489
276,521,490
277,518,492
278,512,497
279,506,504
280,502,509
281,497,515
282,496,517
283,496,517
284,500,515
285,504,510
286,509,505
287,515,500
288,518,495
289,520,494
290,520,494
291,519,494
292,515,496
293,510,502
294,505,505
295,502,509
296,499,511
297,498,512
298,499,512
299,502,509
300,506,506
301,510,503
302,514,499
303,517,496
304,517,496
305,517,496
306,516,498
307,513,502
308,510,505
309,506,506
310,503,509
311,502,509
312,502,510
313,503,508
314,505,506
315,507,505
316,510,502
317,512,500
318,513,499
319,514,498
320,513,499
321,512,501
322,510,504
323,509,505
324,507,506
325,506,506
326,506,507
327,506,507
328,507,506
329,508,505
330,509,504
331,510,503
332,510,502
333,510,502
334,510,502
335,510,502
336,509,503
337,509,504
338,509,504
339,509,505
340,509,505
341,509,505
342,509,504
343,510,504
344,510,504
345,509,504
346,509,505
347,509,504
348,509,504
349,509,504
350,509,504
351,509,504
352,509,504
353,509,504
354,509,504
355,509,504
356,509,504
357,509,504
358,509,505
359,509,504
360,509,504
361,509,504
362,509,504
363,509,504
364,509,504
365,509,505
366,509,505
367,509,504
368,509,504
369,509,504
370,509,504
371,509,505
372,509,504
373,509,504
374,509,505
375,509,504
376,509,504
377,509,504
378,509,504
379,509,504
380,509,504
381,509,504
382,509,505
383,509,505
384,509,505
385,509,504
386,509,504
387,509,504
388,509,504
389,509,504
390,509,504
391,509,505
392,509,505
393,509,504
394,509,504
395,509,505
396,509,504
397,509,504
398,509,504
399,509,504
400,509,504