time (s), potA, potB
0,508,507
1,508,507
2,508,508
3,508,507
4,508,507
5,508,507
6,508,507
7,508,508
8,508,508
9,508,508
10,508,507
11,508,508
12,508,508
13,508,507
14,508,508
15,508,508
16,508,508
17,508,508
18,508,508
19,508,508
20,508,508
21,508,508
22,508,508
23,508,508
24,508,508
25,508,508
26,508,508
27,508,508
28,508,508
29,508,507
30,508,508
31,508,507
32,508,508
33,508,508
34,508,508
35,508,508
36,508,509
37,508,509
38,508,509
39,508,509
40,508,508
41,508,508
42,508,509
43,507,512
44,505,518
45,502,525
46,497,533
47,492,543
48,485,554
49,478,565
50,470,575
51,462,586
52,457,590
53,452,597
54,447,598
55,443,598
56,439,598
57,436,598
58,435,598
59,435,598
60,435,598
61,435,598
62,435,598
63,435,598
64,434,598
65,432,598
66,431,598
67,430,598
68,430,598
69,430,598
70,430,598
71,429,598
72,435,584
73,450,567
74,462,549
75,491,511
76,517,487
77,541,455
78,566,436
79,572,430
80,576,426
81,571,440
82,550,460
83,532,485
84,503,520
85,480,546
86,459,572
87,447,585
88,443,588
89,447,582
90,461,563
91,481,540
92,506,507
93,530,480
94,549,454
95,565,438
96,571,431
97,569,432
98,557,445
99,538,467
100,516,494
101,491,525
102,470,550
103,455,571
104,448,583
105,448,585
106,457,574
107,474,556
108,495,531
109,518,504
110,540,478
111,557,455
112,567,440
113,568,436
114,562,440
115,547,454
116,526,475
117,503,502
118,480,526
119,462,549
120,451,566
121,448,574
122,452,573
123,465,564
124,484,546
125,506,523
126,529,496
127,548,474
128,563,456
129,568,446
130,566,445
131,556,452
132,539,466
133,518,486
134,494,510
135,474,533
136,457,550
137,449,564
138,448,566
139,456,563
140,471,550
141,491,533
142,514,511
143,535,491
144,554,471
145,565,459
146,567,453
147,564,455
148,550,464
149,532,480
150,511,500
151,490,521
152,469,538
153,456,550
154,450,558
155,451,557
156,461,550
157,477,537
158,496,519
159,518,500
160,539,481
161,554,467
162,563,460
163,565,459
164,558,464
165,544,477
166,527,494
167,506,512
168,486,530
169,469,544
170,458,553
171,454,556
172,457,551
173,468,542
174,483,526
175,502,507
176,521,490
177,539,473
178,552,464
179,558,460
180,557,462
181,550,471
182,537,485
183,520,505
184,502,523
185,485,538
186,470,549
187,462,554
188,461,554
189,466,546
190,477,534
191,491,517
192,508,498
193,524,482
194,539,469
195,548,461
196,550,460
197,549,466
198,540,479
199,527,494
200,512,511
201,496,527
202,482,542
203,473,550
204,468,554
205,470,551
206,477,542
207,487,527
208,501,510
209,516,494
210,528,479
211,539,466
212,545,461
213,545,462
214,539,470
215,529,482
216,518,498
217,503,516
218,491,532
219,480,544
220,475,550
221,474,552
222,478,548
223,486,537
224,497,524
225,511,506
226,522,491
227,532,478
228,539,468
229,540,465
230,538,466
231,531,474
232,520,486
233,508,504
234,496,518
235,485,532
236,479,542
237,477,547
238,478,547
239,484,542
240,494,531
241,506,519
242,518,504
243,528,490
244,536,480
245,539,472
246,539,471
247,532,473
248,523,482
249,513,494
250,501,506
251,491,520
252,481,531
253,478,538
254,478,541
255,481,541
256,490,535
257,501,525
258,512,513
259,522,501
260,532,491
261,537,481
262,539,479
263,536,479
264,528,482
265,519,490
266,508,500
267,496,511
268,488,523
269,480,529
270,478,534
271,480,535
272,484,532
273,493,525
274,503,517
275,515,506
276,525,496
277,532,490
278,536,484
279,536,483
280,533,484
281,525,491
282,516,497
283,505,506
284,495,516
285,487,524
286,481,527
287,480,529
288,482,528
289,489,525
290,496,518
291,506,508
292,517,501
293,525,494
294,531,490
295,533,486
296,533,487
297,528,492
298,521,497
299,513,505
300,503,513
301,496,521
302,490,525
303,485,526
304,485,525
305,488,524
306,492,519
307,501,510
308,508,504
309,517,496
310,523,492
311,528,490
312,528,490
313,527,492
314,523,496
315,518,504
316,510,510
317,502,518
318,496,523
319,491,525
320,491,525
321,491,525
322,493,520
323,498,514
324,504,506
325,511,500
326,517,494
327,520,492
328,523,491
329,522,492
330,521,494
331,518,500
332,513,506
333,507,513
334,502,519
335,497,524
336,496,525
337,495,525
338,496,523
339,500,518
340,503,511
341,508,505
342,513,499
343,517,494
344,518,493
345,518,492
346,518,494
347,516,496
348,512,503
349,508,507
350,504,514
351,501,518
352,500,522
353,499,523
354,500,523
355,501,519
356,504,515
357,508,508
358,512,505
359,515,500
360,516,496
361,516,494
362,516,494
363,514,496
364,511,500
365,508,504
366,505,507
367,502,512
368,502,516
369,501,518
370,502,518
371,503,518
372,505,516
373,508,512
374,511,508
375,513,505
376,514,503
377,515,500
378,514,500
379,513,500
380,511,501
381,508,504
382,506,505
383,504,507
384,502,510
385,502,513
386,502,514
387,503,514
388,506,514
389,507,512
390,509,509
391,511,507
392,512,506
393,513,505
394,512,504
395,512,504
396,511,505
397,509,505
398,507,505
399,506,506
400,505,507
401,505,508
402,505,509
403,505,509
404,506,509
405,507,509
406,508,508
407,509,507
408,510,507
409,510,507
410,510,506
411,510,507
412,509,507
413,509,507
414,508,507
415,508,507
416,508,507
417,508,507
418,508,507
419,508,507
420,508,507
421,508,507
422,508,507
423,508,507
424,508,507
425,508,507
426,508,507
427,508,507
428,508,507
429,508,507
430,508,507
431,508,507
432,508,507
433,508,507
434,508,507
435,508,507
436,508,507
437,508,507
438,508,507
439,508,507
440,508,507
441,508,507
442,508,507
443,508,507
444,508,507
445,508,507
446,508,507
447,508,507
448,508,507
449,508,507
450,508,507
451,508,507
452,508,507
453,508,507
454,508,507
455,508,507
456,508,507
457,508,507
458,508,507
459,508,507
460,508,507
461,508,507
462,508,507
463,508,507
464,508,507
465,508,507
466,508,507
467,508,507
468,508,507
469,508,507
470,508,507
471,508,507
472,508,507
473,508,507
474,508,507
475,508,507
476,508,507
477,508,507
478,508,507
479,508,507
480,508,507
481,508,507
482,508,507
483,508,507
484,508,507
485,508,507
486,508,507
487,508,507
488,508,507
489,508,507
490,508,507
491,508,507
492,508,507
493,508,507
494,508,507
495,508,507
496,508,507
497,508,507
498,508,507
499,508,507
500,508,507