time (s), potA, potB
0,507,505
1,508,505
2,507,505
3,507,505
4,507,505
5,507,505
6,508,505
7,507,505
8,508,505
9,508,505
10,507,505
11,507,505
12,508,505
13,507,505
14,507,505
15,508,505
16,508,505
17,509,505
18,509,505
19,509,505
20,509,505
21,507,506
22,504,509
23,502,516
24,497,524
25,493,532
26,488,541
27,482,549
28,478,555
29,472,561
30,468,566
31,463,570
32,460,577
33,455,581
34,452,586
35,448,589
36,444,590
37,441,590
38,438,590
39,436,590
40,436,590
41,435,590
42,435,590
43,435,590
44,434,590
45,440,579
46,461,558
47,482,532
48,516,493
49,548,463
50,565,440
51,572,432
52,564,440
53,539,460
54,512,494
55,479,526
56,456,553
57,444,568
58,447,566
59,464,550
60,491,524
61,523,491
62,550,464
63,568,446
64,572,443
65,562,453
66,539,473
67,508,505
68,479,534
69,456,554
70,447,563
71,450,557
72,468,540
73,493,511
74,522,481
75,548,458
76,563,445
77,565,445
78,554,457
79,532,482
80,504,512
81,480,541
82,461,558
83,456,565
84,461,557
85,478,537
86,503,508
87,528,481
88,549,459
89,559,447
90,557,447
91,544,460
92,521,483
93,496,511
94,473,536
95,459,550
96,456,555
97,465,549
98,485,531
99,509,505
100,534,481
101,553,463
102,560,455
103,557,457
104,543,471
105,519,493
106,495,517
107,474,537
108,461,548
109,459,550
110,468,541
111,486,522
112,508,496
113,532,474
114,548,460
115,554,455
116,550,459
117,537,475
118,517,498
119,495,523
120,478,541
121,468,549
122,468,550
123,477,540
124,493,519
125,515,495
126,532,474
127,545,461
128,548,457
129,543,461
130,528,478
131,510,497
132,491,520
133,475,536
134,468,544
135,469,544
136,481,535
137,498,517
138,518,496
139,536,480
140,547,469
141,549,465
142,542,471
143,527,483
144,509,504
145,491,522
146,476,533
147,469,539
148,471,537
149,481,526
150,497,509
151,517,492
152,532,478
153,541,469
154,544,467
155,537,474
156,525,490
157,509,506
158,492,525
159,480,536
160,477,540
161,479,537
162,489,525
163,502,508
164,517,492
165,530,478
166,537,470
167,537,469
168,531,474
169,518,487
170,504,505
171,491,520
172,480,531
173,479,535
174,482,532
175,491,524
176,506,508
177,520,494
178,532,482
179,537,477
180,537,476
181,529,481
182,518,492
183,503,505
184,491,518
185,482,526
186,479,528
187,482,525
188,491,518
189,503,505
190,517,493
191,528,482
192,533,480
193,533,480
194,527,484
195,518,495
196,506,507
197,496,520
198,489,526
199,486,527
200,488,525
201,495,517
202,505,505
203,516,494
204,523,483
205,528,480
206,528,480
207,522,483
208,515,494
209,504,506
210,496,517
211,491,524
212,490,525
213,491,525
214,498,518
215,507,506
216,517,496
217,524,489
218,528,484
219,527,483
220,522,486
221,514,495
222,504,505
223,496,512
224,491,518
225,490,520
226,491,519
227,497,513
228,506,505
229,515,496
230,521,491
231,525,488
232,525,488
233,522,492
234,516,498
235,508,506
236,501,513
237,496,518
238,494,518
239,495,517
240,499,511
241,505,505
242,512,496
243,517,492
244,519,489
245,520,489
246,518,492
247,514,496
248,508,505
249,502,510
250,499,515
251,497,517
252,498,517
253,502,513
254,507,506
255,513,501
256,517,495
257,518,494
258,518,493
259,516,494
260,512,496
261,507,502
262,502,506
263,500,509
264,498,511
265,499,510
266,502,509
267,506,506
268,511,502
269,515,498
270,517,496
271,517,496
272,516,496
273,513,500
274,510,504
275,505,506
276,502,507
277,502,508
278,502,508
279,502,507
280,505,505
281,508,502
282,511,499
283,512,497
284,513,497
285,512,497
286,511,500
287,509,504
288,507,505
289,506,506
290,505,506
291,506,506
292,506,506
293,507,505
294,509,504
295,510,502
296,510,501
297,510,501
298,510,500
299,509,501
300,508,502
301,507,504
302,507,504
303,507,505
304,507,504
305,508,504
306,508,504
307,509,504
308,508,504
309,508,504
310,508,504
311,508,504
312,508,504
313,508,504
314,508,504
315,508,504
316,508,504
317,508,504
318,508,504
319,508,504
320,508,504
321,508,504
322,508,504
323,508,504
324,508,504
325,508,504
326,508,504
327,508,504
328,508,504
329,508,504
330,508,504
331,508,504
332,508,504
333,508,504
334,508,504
335,508,504
336,508,504
337,508,504
338,508,504
339,508,504
340,508,504
341,508,504
342,508,504
343,508,504
344,508,504
345,508,504
346,508,504
347,508,504
348,508,504
349,508,504
350,508,504
351,508,504
352,508,504
353,508,504
354,508,504
355,508,504
356,508,504
357,508,504
358,508,504
359,508,504
360,508,504
361,508,504
362,508,504
363,508,504
364,508,504
365,508,504
366,508,504
367,508,504
368,508,504
369,508,504
370,508,504
371,508,504
372,508,504
373,508,504
374,508,504
375,508,504
376,508,504
377,508,504
378,508,504
379,508,504
380,508,504
381,508,504
382,508,504
383,508,504
384,508,504
385,508,504
386,508,504
387,508,504
388,508,504
389,508,504
390,508,504
391,508,504
392,508,504
393,508,504
394,508,504
395,508,504
396,508,504
397,508,504
398,508,504
399,508,504
400,508,504