X,CH1,
Second,Volt,
2.44400e-03,-2.00e-02,
2.44500e-03,-2.00e-03,
2.44600e-03,0.00e+00,
2.44700e-03,2.20e-02,
2.44800e-03,2.20e-02,
2.44900e-03,2.80e-02,
2.45000e-03,2.40e-02,
2.45100e-03,6.00e-03,
2.45200e-03,4.00e-03,
2.45300e-03,-1.60e-02,
2.45400e-03,-1.60e-02,
2.45500e-03,-2.40e-02,
2.45600e-03,-2.40e-02,
2.45700e-03,-1.00e-02,
2.45800e-03,-6.00e-03,
2.45900e-03,1.20e-02,
2.46000e-03,1.40e-02,
2.46100e-03,2.40e-02,
2.46200e-03,2.60e-02,
2.46300e-03,1.60e-02,
2.46400e-03,1.40e-02,
2.46500e-03,-4.00e-03,
2.46600e-03,-6.00e-03,
2.46700e-03,-2.00e-02,
2.46800e-03,-2.40e-02,
2.46900e-03,-1.60e-02,
2.47000e-03,-1.60e-02,
2.47100e-03,0.00e+00,
2.47200e-03,4.00e-03,
2.47300e-03,1.80e-02,
2.47400e-03,2.40e-02,
2.47500e-03,1.80e-02,
2.47600e-03,2.00e-02,
2.47700e-03,4.00e-03,
2.47800e-03,2.00e-03,
2.47900e-03,-1.40e-02,
2.48000e-03,-1.60e-02,
2.48100e-03,-2.00e-02,
2.48200e-03,-2.00e-02,
2.48300e-03,-6.00e-03,
2.48400e-03,-4.00e-03,
2.48500e-03,1.00e-02,
2.48600e-03,1.40e-02,
2.48700e-03,2.00e-02,
2.48800e-03,2.20e-02,
2.48900e-03,1.20e-02,
2.49000e-03,1.00e-02,
2.49100e-03,-6.00e-03,
2.49200e-03,-8.00e-03,
2.49300e-03,-1.60e-02,
2.49400e-03,-1.80e-02,
2.49500e-03,-1.40e-02,
2.49600e-03,-1.20e-02,
2.49700e-03,6.00e-03,
2.49800e-03,2.00e-03,
2.49900e-03,1.80e-02,
2.50000e-03,2.00e-02,
2.50100e-03,1.40e-02,
2.50200e-03,1.40e-02,
2.50300e-03,2.00e-03,
2.50400e-03,0.00e+00,
2.50500e-03,-1.20e-02,
2.50600e-03,-1.20e-02,
2.50700e-03,-1.60e-02,
2.50800e-03,-1.60e-02,
2.50900e-03,-4.00e-03,
2.51000e-03,-4.00e-03,
2.51100e-03,1.00e-02,
2.51200e-03,1.00e-02,
2.51300e-03,1.80e-02,
2.51400e-03,1.60e-02,
2.51500e-03,8.00e-03,
2.51600e-03,8.00e-03,
2.51700e-03,-6.00e-03,
2.51800e-03,-8.00e-03,
2.51900e-03,-1.60e-02,
2.52000e-03,-1.60e-02,
2.52100e-03,-8.00e-03,
2.52200e-03,-8.00e-03,
2.52300e-03,4.00e-03,
2.52400e-03,4.00e-03,
2.52500e-03,1.40e-02,
2.52600e-03,1.60e-02,
2.52700e-03,1.20e-02,
2.52800e-03,1.40e-02,
2.52900e-03,0.00e+00,
2.53000e-03,0.00e+00,
2.53100e-03,-1.00e-02,
2.53200e-03,-1.20e-02,
2.53300e-03,-1.40e-02,
2.53400e-03,-1.20e-02,
2.53500e-03,-4.00e-03,
2.53600e-03,-2.00e-03,
2.53700e-03,1.00e-02,
2.53800e-03,1.20e-02,
2.53900e-03,1.40e-02,
2.54000e-03,1.40e-02,
2.54100e-03,6.00e-03,
2.54200e-03,6.00e-03,
2.54300e-03,-4.00e-03,
2.54400e-03,-8.00e-03,
2.54500e-03,-1.40e-02,
2.54600e-03,-1.40e-02,
2.54700e-03,-8.00e-03,
2.54800e-03,-6.00e-03,
2.54900e-03,4.00e-03,
2.55000e-03,6.00e-03,
2.55100e-03,1.40e-02,
2.55200e-03,1.40e-02,
2.55300e-03,1.00e-02,
2.55400e-03,1.00e-02,
2.55500e-03,0.00e+00,
2.55600e-03,-2.00e-03,
2.55700e-03,-8.00e-03,
2.55800e-03,-8.00e-03,
2.55900e-03,-1.20e-02,
2.56000e-03,-1.00e-02,
2.56100e-03,-2.00e-03,
2.56200e-03,-2.00e-03,
2.56300e-03,8.00e-03,
2.56400e-03,1.00e-02,
2.56500e-03,1.20e-02,
2.56600e-03,1.20e-02,
2.56700e-03,6.00e-03,
2.56800e-03,4.00e-03,
2.56900e-03,-4.00e-03,
2.57000e-03,-4.00e-03,
2.57100e-03,-1.00e-02,
2.57200e-03,-1.00e-02,
2.57300e-03,-4.00e-03,
2.57400e-03,-4.00e-03,
2.57500e-03,4.00e-03,
2.57600e-03,4.00e-03,
2.57700e-03,1.00e-02,
2.57800e-03,1.20e-02,
2.57900e-03,8.00e-03,
2.58000e-03,8.00e-03,
2.58100e-03,-2.00e-03,
2.58200e-03,-2.00e-03,
2.58300e-03,-8.00e-03,
2.58400e-03,-8.00e-03,
2.58500e-03,-8.00e-03,
2.58600e-03,-8.00e-03,
2.58700e-03,-2.00e-03,
2.58800e-03,-2.00e-03,
2.58900e-03,6.00e-03,
2.59000e-03,8.00e-03,
2.59100e-03,1.00e-02,
2.59200e-03,1.00e-02,
2.59300e-03,6.00e-03,
2.59400e-03,2.00e-03,
2.59500e-03,-6.00e-03,
2.59600e-03,-4.00e-03,
2.59700e-03,-8.00e-03,
2.59800e-03,-1.00e-02,
2.59900e-03,-4.00e-03,
2.60000e-03,-4.00e-03,
2.60100e-03,4.00e-03,
2.60200e-03,4.00e-03,
2.60300e-03,8.00e-03,
2.60400e-03,1.00e-02,
2.60500e-03,6.00e-03,
2.60600e-03,6.00e-03,
2.60700e-03,-2.00e-03,
2.60800e-03,-2.00e-03,
2.60900e-03,-6.00e-03,
2.61000e-03,-8.00e-03,
2.61100e-03,-4.00e-03,
2.61200e-03,-4.00e-03,
2.61300e-03,0.00e+00,
2.61400e-03,2.00e-03,
2.61500e-03,8.00e-03,
2.61600e-03,6.00e-03,
2.61700e-03,1.00e-02,
2.61800e-03,8.00e-03,
2.61900e-03,2.00e-03,
2.62000e-03,2.00e-03,
2.62100e-03,-4.00e-03,
2.62200e-03,-4.00e-03,
2.62300e-03,-8.00e-03,
2.62400e-03,-6.00e-03,
2.62500e-03,-4.00e-03,
2.62600e-03,-4.00e-03,
2.62700e-03,2.00e-03,
2.62800e-03,4.00e-03,
2.62900e-03,8.00e-03,
2.63000e-03,8.00e-03,
2.63100e-03,4.00e-03,
2.63200e-03,6.00e-03,
2.63300e-03,-4.00e-03,
2.63400e-03,-2.00e-03,
2.63500e-03,-6.00e-03,
2.63600e-03,-6.00e-03,
2.63700e-03,-4.00e-03,
2.63800e-03,-4.00e-03,
2.63900e-03,2.00e-03,
2.64000e-03,0.00e+00,
2.64100e-03,6.00e-03,
2.64200e-03,6.00e-03,
2.64300e-03,8.00e-03,
2.64400e-03,6.00e-03,
2.64500e-03,2.00e-03,
2.64600e-03,0.00e+00,
2.64700e-03,-4.00e-03,
2.64800e-03,-4.00e-03,
2.64900e-03,-8.00e-03,
2.65000e-03,-6.00e-03,
2.65100e-03,-4.00e-03,
2.65200e-03,-4.00e-03,
2.65300e-03,4.00e-03,
2.65400e-03,4.00e-03,
2.65500e-03,6.00e-03,
2.65600e-03,6.00e-03,
2.65700e-03,4.00e-03,
2.65800e-03,4.00e-03,
2.65900e-03,-2.00e-03,
2.66000e-03,-2.00e-03,
2.66100e-03,-6.00e-03,
