time (s), potA, potB
0,511,697
1,511,696
2,511,696
3,510,696
4,510,696
5,511,696
6,510,696
7,510,696
8,511,696
9,511,696
10,511,696
11,509,697
12,506,700
13,500,706
14,491,715
15,481,726
16,473,737
17,465,747
18,459,756
19,453,765
20,449,772
21,447,781
22,445,784
23,445,784
24,444,784
25,444,784
26,442,784
27,442,783
28,441,784
29,441,784
30,441,784
31,442,784
32,441,784
33,441,784
34,442,784
35,442,784
36,443,783
37,443,784
38,443,784
39,443,784
40,443,784
41,443,784
42,443,784
43,443,784
44,443,784
45,444,783
46,445,784
47,447,784
48,448,784
49,449,784
50,449,784
51,448,784
52,448,783
53,455,766
54,469,750
55,486,728
56,512,688
57,532,658
58,549,628
59,564,614
60,563,612
61,557,617
62,541,638
63,519,666
64,497,704
65,475,733
66,461,754
67,453,766
68,454,764
69,466,755
70,484,734
71,508,707
72,531,673
73,551,646
74,565,629
75,568,619
76,564,624
77,548,636
78,528,657
79,503,690
80,478,716
81,459,738
82,449,752
83,449,755
84,458,750
85,475,733
86,497,713
87,522,686
88,546,658
89,563,638
90,571,628
91,570,628
92,559,637
93,540,658
94,516,685
95,491,711
96,469,733
97,455,747
98,449,752
99,453,749
100,465,735
101,485,714
102,508,689
103,532,658
104,551,637
105,564,629
106,566,628
107,561,636
108,547,655
109,527,677
110,504,711
111,482,734
112,468,751
113,459,756
114,458,754
115,466,741
116,480,721
117,499,696
118,519,662
119,540,641
120,552,628
121,558,625
122,556,630
123,546,645
124,530,667
125,511,700
126,491,726
127,476,747
128,467,757
129,464,759
130,469,751
131,482,732
132,498,710
133,517,676
134,533,652
135,548,633
136,554,626
137,553,626
138,545,636
139,529,654
140,512,681
141,492,711
142,478,732
143,468,748
144,465,754
145,469,751
146,481,740
147,496,721
148,515,699
149,532,669
150,548,648
151,555,635
152,555,632
153,549,636
154,535,649
155,518,668
156,497,698
157,480,717
158,468,733
159,461,743
160,462,744
161,473,737
162,487,723
163,506,705
164,524,679
165,542,660
166,554,646
167,558,640
168,555,642
169,545,650
170,528,667
171,509,693
172,491,713
173,474,727
174,464,737
175,461,739
176,466,734
177,478,723
178,494,707
179,513,686
180,530,663
181,546,649
182,554,642
183,555,642
184,549,650
185,537,665
186,520,688
187,502,710
188,487,726
189,474,736
190,468,741
191,468,738
192,475,728
193,487,713
194,502,695
195,518,667
196,532,650
197,544,641
198,548,638
199,547,644
200,539,656
201,526,673
202,511,700
203,496,720
204,484,733
205,476,742
206,474,742
207,477,736
208,486,723
209,498,706
210,514,683
211,527,660
212,537,647
213,543,638
214,543,638
215,537,647
216,527,660
217,515,681
218,500,706
219,488,722
220,480,735
221,476,742
222,478,740
223,485,732
224,496,718
225,510,701
226,523,676
227,534,659
228,541,648
229,544,643
230,540,645
231,531,654
232,518,668
233,503,692
234,491,711
235,480,722
236,475,732
237,475,734
238,481,732
239,490,722
240,503,711
241,517,695
242,531,673
243,541,659
244,546,650
245,545,650
246,538,655
247,527,665
248,514,680
249,498,699
250,486,714
251,477,724
252,474,728
253,475,728
254,482,721
255,492,711
256,507,698
257,519,678
258,532,665
259,541,658
260,546,654
261,544,657
262,536,664
263,524,675
264,511,696
265,496,711
266,485,721
267,478,727
268,476,728
269,478,722
270,485,715
271,496,701
272,509,686
273,521,669
274,532,659
275,539,654
276,541,654
277,538,660
278,531,670
279,519,689
280,507,704
281,496,717
282,488,726
283,482,729
284,481,728
285,485,722
286,491,711
287,501,698
288,514,677
289,522,664
290,531,656
291,534,651
292,534,654
293,531,660
294,522,673
295,514,694
296,502,708
297,494,719
298,489,727
299,485,729
300,487,727
301,491,721
302,499,711
303,508,696
304,518,676
305,526,665
306,531,657
307,532,653
308,531,656
309,524,663
310,516,674
311,506,694
312,497,707
313,491,717
314,487,724
315,486,727
316,490,724
317,496,717
318,505,709
319,515,696
320,522,676
321,530,667
322,532,660
323,532,659
324,529,660
325,521,667
326,513,677
327,501,696
328,494,706
329,488,716
330,485,720
331,485,721
332,490,717
333,497,712
334,507,703
335,517,694
336,524,676
337,531,669
338,533,665
339,532,664
340,529,667
341,520,674
342,512,689
343,501,699
344,493,709
345,488,715
346,485,717
347,486,716
348,490,713
349,497,705
350,507,697
351,517,686
352,523,674
353,530,669
354,532,667
355,532,668
356,528,674
357,520,685
358,512,696
359,502,704
360,496,711
361,490,716
362,488,717
363,489,715
364,491,710
365,498,700
366,507,693
367,515,677
368,521,672
369,527,667
370,529,667
371,528,669
372,524,675
373,518,689
374,511,699
375,503,707
376,497,713
377,493,717
378,491,717
379,492,715
380,496,710
381,502,700
382,508,691
383,515,676
384,519,670
385,523,667
386,524,666
387,523,669
388,519,675
389,515,688
390,508,699
391,502,707
392,498,713
393,496,717
394,496,717
395,496,715
396,501,710
397,506,700
398,512,694
399,517,678
400,519,673
401,521,668
402,521,667
403,519,670
404,517,675
405,511,687
406,506,697
407,501,704
408,497,711
409,496,714
410,496,715
411,499,713
412,503,709
413,508,700
414,514,695
415,518,686
416,520,675
417,522,673
418,521,672
419,518,674
420,515,676
421,509,687
422,503,696
423,500,701
424,496,706
425,496,710
426,496,711
427,499,710
428,503,705
429,509,700
430,515,695
431,518,688
432,521,680
433,522,675
434,521,675
435,518,677
436,515,686
437,510,693
438,504,697
439,501,700
440,496,704
441,496,706
442,496,706
443,499,704
444,502,700
445,507,697
446,514,694
447,517,687
448,519,683
449,521,680
450,521,682
451,518,686
452,516,691
453,512,695
454,506,699
455,502,702
456,500,704
457,497,705
458,498,704
459,500,701
460,502,698
461,507,695
462,512,690
463,515,686
464,517,682
465,518,681
466,518,684
467,517,688
468,515,694
469,512,697
470,508,700
471,504,703
472,502,705
473,501,705
474,501,704
475,502,700
476,505,698
477,507,695
478,511,690
479,514,685
480,515,681
481,516,680
482,516,683
483,515,688
484,514,694
485,510,697
486,507,700
487,506,703
488,504,705
489,503,705
490,503,704
491,506,701
492,507,698
493,509,695
494,511,691
495,513,686
496,514,684
497,514,683
498,514,685
499,513,687
500,511,692
501,508,695
502,507,699
503,506,700
504,505,702
505,505,703
506,506,702
507,507,700
508,509,699
509,511,696
510,512,694
511,513,691
512,514,688
513,514,687
514,513,687
515,511,690
516,509,692
517,507,695
518,506,696
519,505,699
520,505,700
521,506,700
522,507,700
523,508,699
524,510,698
525,512,697
526,513,695
527,514,693
528,514,693
529,514,692
530,513,692
531,511,693
532,509,694
533,507,695
534,506,696
535,506,697
536,505,698
537,506,698
538,507,698
539,507,697
540,509,696
541,511,695
542,512,695
543,513,695
544,513,695
545,513,695
546,512,695
547,512,695
548,509,696
549,508,696
550,507,697
551,507,697
552,506,696
553,506,696
554,507,696
555,507,695
556,508,695
557,510,695
558,511,695
559,511,695
560,512,695
561,512,695
562,511,695
563,511,696
564,510,696
565,509,696
566,508,697
567,508,696
568,508,696
569,508,696
570,508,696
571,508,695
572,509,695
573,509,694
574,509,695
575,509,695
576,510,695
577,509,695
578,509,696
579,509,696
580,509,695
581,509,696
582,509,696
583,509,696
584,509,696
585,509,696
586,509,695
587,509,695
588,509,695
589,509,695
590,509,695
591,509,695
592,509,696
593,509,696
594,509,696
595,509,696
596,509,696
597,509,696
598,509,696
599,509,696
600,509,696