time (s), potA, potB
0,509,700
1,509,699
2,509,699
3,509,699
4,509,698
5,510,699
6,510,697
7,509,698
8,510,698
9,509,698
10,510,698
11,510,698
12,509,699
13,509,698
14,507,700
15,503,705
16,496,711
17,490,718
18,484,727
19,480,739
20,476,751
21,474,759
22,472,765
23,469,770
24,468,773
25,466,773
26,464,775
27,463,777
28,461,780
29,461,781
30,460,781
31,459,781
32,459,780
33,459,781
34,458,781
35,464,763
36,482,735
37,501,710
38,521,672
39,548,635
40,552,630
41,549,631
42,531,648
43,508,677
44,486,716
45,467,737
46,464,749
47,472,741
48,491,726
49,516,699
50,541,665
51,555,649
52,560,646
53,550,653
54,532,675
55,506,709
56,482,733
57,468,744
58,464,743
59,473,732
60,490,703
61,514,671
62,532,646
63,546,636
64,547,638
65,537,653
66,518,688
67,498,717
68,481,741
69,475,753
70,477,751
71,491,734
72,510,710
73,530,675
74,545,655
75,549,646
76,546,645
77,530,660
78,507,686
79,485,713
80,470,728
81,466,735
82,471,732
83,489,716
84,508,696
85,531,667
86,547,652
87,552,650
88,548,658
89,532,676
90,513,706
91,491,727
92,480,740
93,477,741
94,481,733
95,495,713
96,512,687
97,530,657
98,538,643
99,539,641
100,532,649
101,516,671
102,499,700
103,484,723
104,477,735
105,478,739
106,489,731
107,506,713
108,524,693
109,541,665
110,548,657
111,547,656
112,535,665
113,518,686
114,497,709
115,481,723
116,473,728
117,473,727
118,482,715
119,499,696
120,518,672
121,532,654
122,540,649
123,540,653
124,531,668
125,517,696
126,501,717
127,489,733
128,484,739
129,484,735
130,496,722
131,509,701
132,524,675
133,535,657
134,538,650
135,534,650
136,521,665
137,506,687
138,491,710
139,481,722
140,478,728
141,481,727
142,496,716
143,511,699
144,528,676
145,540,665
146,544,660
147,540,664
148,528,676
149,514,700
150,496,717
151,485,727
152,480,728
153,482,722
154,491,709
155,505,692
156,518,666
157,530,656
158,533,652
159,529,658
160,522,673
161,511,697
162,497,717
163,491,728
164,488,733
165,490,730
166,502,717
167,514,702
168,527,677
169,534,665
170,536,659
171,532,660
172,518,672
173,505,692
174,491,709
175,482,717
176,480,722
177,484,719
178,495,710
179,507,697
180,523,675
181,532,666
182,537,664
183,535,668
184,527,683
185,516,700
186,502,716
187,492,724
188,489,728
189,490,723
190,496,711
191,505,697
192,518,674
193,525,663
194,529,658
195,527,659
196,519,670
197,510,690
198,500,708
199,491,718
200,490,727
201,491,724
202,500,717
203,510,707
204,521,694
205,530,674
206,533,667
207,532,667
208,524,673
209,513,687
210,501,701
211,491,711
212,485,717
213,486,717
214,490,711
215,501,701
