time (s), potA, potB
0,509,695
1,509,695
2,509,695
3,509,695
4,509,695
5,509,695
6,509,694
7,509,695
8,509,695
9,509,695
10,509,695
11,509,694
12,509,695
13,509,695
14,509,695
15,509,694
16,509,695
17,509,695
18,509,695
19,509,695
20,509,695
21,509,695
22,509,695
23,509,695
24,509,695
25,509,695
26,509,695
27,509,695
28,509,695
29,508,695
30,507,695
31,507,697
32,503,700
33,501,709
34,496,717
35,490,728
36,482,736
37,476,743
38,470,749
39,465,755
40,461,758
41,460,762
42,459,766
43,459,771
44,460,772
45,460,774
46,460,778
47,460,779
48,460,780
49,460,779
50,460,780
51,459,778
52,469,756
53,482,741
54,499,710
55,526,667
56,543,642
57,555,616
58,560,613
59,549,618
60,535,637
61,512,667
62,488,701
63,468,734
64,456,749
65,456,757
66,465,753
67,483,734
68,508,712
69,533,676
70,555,650
71,567,635
72,568,628
73,559,635
74,540,649
75,515,674
76,489,706
77,465,727
78,452,741
79,449,742
80,456,735
81,475,718
82,497,695
83,524,665
84,548,643
85,562,632
86,567,632
87,561,642
88,546,661
89,523,693
90,499,720
91,479,739
92,464,751
93,460,752
94,465,739
95,478,718
96,497,692
97,518,658
98,538,633
99,549,623
100,553,622
101,548,631
102,533,651
103,516,683
104,496,717
105,480,739
106,470,753
107,469,757
108,477,749
109,491,728
110,510,703
111,530,670
112,545,646
113,553,631
114,553,627
115,544,632
116,527,648
117,506,673
118,486,704
119,469,726
120,461,739
121,461,744
122,472,737
123,489,723
124,510,703
125,532,675
126,549,655
127,560,643
128,561,641
129,553,648
130,535,661
131,515,686
132,491,711
133,474,727
134,461,735
135,459,735
136,466,727
137,481,712
138,500,692
139,519,664
140,540,647
141,551,637
142,555,638
143,550,648
144,538,667
145,520,695
146,502,718
147,485,734
148,475,745
149,471,745
150,476,734
151,486,716
152,501,695
153,518,664
154,532,644
155,541,632
156,545,631
157,539,638
158,527,656
159,513,679
160,496,711
161,484,728
162,477,742
163,476,746
164,482,740
165,495,727
166,510,707
167,526,677
168,540,658
169,548,643
170,548,638
171,540,642
172,527,654
173,510,673
174,491,699
175,478,717
176,469,728
177,469,733
178,475,729
179,489,720
180,505,704
181,523,684
182,540,664
183,549,653
184,553,649
185,549,654
186,536,664
187,519,684
188,501,704
189,485,718
190,474,727
191,469,729
192,472,724
193,481,713
194,496,696
195,513,672
196,528,658
197,540,648
198,546,645
199,545,650
200,537,664
201,524,686
202,509,708
203,496,723
204,485,733
205,480,737
206,481,733
207,487,721
208,497,704
209,511,677
210,523,660
211,532,646
212,537,640
213,535,643
214,528,652
215,518,669
216,505,695
217,493,715
218,485,728
219,481,734
220,484,734
221,491,728
222,502,715
223,516,698
224,528,673
225,537,659
226,541,649
227,539,648
228,531,653
229,518,665
230,504,683
231,491,701
232,480,716
233,476,723
234,477,725
235,483,721
236,496,711
237,510,698
238,524,678
239,536,665
240,544,659
241,545,658
242,540,661
243,529,672
244,515,691
245,501,704
246,489,716
247,480,721
248,477,722
249,480,717
250,487,708
251,499,695
252,513,673
253,524,662
254,533,655
255,538,654
256,537,659
257,532,669
258,521,689
259,510,705
260,498,717
261,491,727
262,486,728
263,486,725
264,491,716
265,498,702
266,509,684
267,518,665
268,527,655
269,531,649
270,531,650
271,525,659
272,517,672
273,508,693
274,498,709
275,491,720
276,489,727
277,490,728
278,494,723
279,502,714
280,512,700
281,521,683
282,529,667
283,532,659
284,532,656
285,528,658
286,519,665
287,508,675
288,497,696
289,490,707
290,484,715
291,483,718
292,487,718
293,496,712
294,506,703
295,517,695
296,527,676
297,533,669
298,537,665
299,535,665
300,529,671
301,519,680
302,507,695
303,496,704
304,489,711
305,484,715
306,483,714
307,488,710
308,496,700
309,505,691
310,516,675
311,524,667
312,531,664
313,532,665
314,531,669
315,525,677
316,517,695
317,508,705
318,500,714
319,493,718
320,491,719
321,491,716
322,495,708
323,501,697
324,508,681
325,516,669
326,521,662
327,525,659
328,525,660
329,522,667
330,517,676
331,510,695
332,503,705
333,497,716
334,495,720
335,496,721
336,497,717
337,502,710
338,509,699
339,517,686
340,521,673
341,524,665
342,524,662
343,521,663
344,517,668
345,510,676
346,502,694
347,496,701
348,492,710
349,492,714
350,494,715
351,499,711
352,506,705
353,514,698
354,519,688
355,526,676
356,529,673
357,528,670
358,523,673
359,518,676
360,510,686
361,502,696
362,496,701
363,491,706
364,490,709
365,491,707
366,496,702
367,503,697
368,512,691
369,518,681
370,524,675
371,528,673
372,528,674
373,524,678
374,518,690
375,513,696
