time (s), potA, potB
0,510,695
1,510,696
2,510,696
3,510,696
4,510,696
5,510,696
6,510,696
7,511,697
8,510,696
9,511,696
10,510,696
11,510,697
12,510,700
13,509,706
14,510,714
15,509,723
16,509,733
17,509,744
18,511,755
19,513,764
20,515,771
21,516,775
22,517,775
23,517,775
24,517,774
25,515,773
26,513,773
27,511,774
28,508,774
29,507,774
30,505,775
31,505,775
32,505,775
33,505,775
34,503,774
35,507,775
36,505,775
37,505,775
38,505,775
39,505,775
40,505,775
41,505,773
42,508,755
43,513,734
44,517,718
45,525,675
46,526,651
47,525,639
48,519,624
49,506,630
50,496,642
51,479,663
52,472,694
53,468,710
54,472,725
55,486,730
56,502,728
57,525,722
58,544,710
59,558,700
60,566,691
61,563,686
62,553,687
63,533,695
64,510,701
65,488,708
66,469,710
67,460,706
68,459,697
69,467,678
70,481,665
71,498,654
72,517,648
73,531,649
74,541,658
75,544,674
76,540,700
77,531,722
78,519,741
79,511,751
80,504,752
81,502,744
82,502,727
83,506,704
84,511,674
85,515,652
86,517,636
87,512,630
88,508,633
89,500,646
90,491,664
91,485,693
92,483,713
93,487,728
94,496,735
95,508,735
96,523,730
97,539,719
98,548,705
99,555,693
100,552,675
101,541,673
102,526,673
103,506,676
104,488,687
105,472,694
106,462,696
107,461,696
108,469,693
109,482,682
110,500,673
111,517,667
112,533,667
113,543,672
114,547,685
115,547,700
116,538,716
117,527,728
118,514,735
119,502,738
120,495,733
121,492,720
122,491,702
123,496,674
124,501,657
125,506,642
126,510,635
127,511,636
128,509,648
129,506,664
130,502,694
131,500,713
132,500,729
133,502,739
134,509,742
135,517,737
136,526,726
137,533,711
138,538,695
139,538,674
140,532,665
141,522,660
142,508,660
143,494,666
144,481,675
145,473,686
146,469,696
147,474,700
148,483,701
149,496,700
150,514,697
151,530,694
152,542,694
153,548,695
154,548,697
155,544,702
156,532,710
157,518,715
158,503,717
159,492,716
160,484,711
161,481,701
162,482,687
163,489,670
164,496,658
165,505,650
166,514,650
167,518,655
168,521,666
169,521,687
170,519,706
171,517,722
172,514,733
173,512,740
174,511,738
175,514,730
176,515,717
177,517,700
178,518,677
179,518,663
180,515,654
181,510,649
182,502,652
183,496,660
184,490,673
185,487,692
186,486,703
187,490,713
188,498,718
189,508,718
190,519,717
191,532,711
192,540,705
193,543,700
194,541,696
195,534,693
196,524,691
197,511,693
198,497,695
199,487,696
200,479,695
201,477,697
202,480,688
203,486,681
204,496,674
205,507,673
206,518,673
207,528,676
208,533,686
209,534,698
210,532,708
211,527,717
212,519,723
213,512,726
214,505,723
215,502,717
216,498,708
217,498,695
218,500,675
219,502,663
220,505,656
221,507,653
222,507,657
223,507,664
224,507,675
225,506,696
226,506,710
227,506,720
228,509,727
229,513,727
230,517,725
231,519,717
232,523,710
233,525,697
234,523,685
235,520,673
